method,Pong,Breakout,Boxing,Freeway,SpaceInvaders,mean
Constrained-local min-max,1.55,8.5,5.35,0.0,207.25,44.53
Naive fine-tuning,-20.17,1.6,0.33,0.2,353.5,67.09
