global_step,episodic_return
0,0.0
832,110.0
856,150.0
920,75.0
1000,75.0
1184,205.0
1224,180.0
1240,20.0
1360,190.0
1528,135.0
1664,340.0
1840,60.0
2088,130.0
2096,190.0
2344,35.0
2360,35.0
2648,65.0
2680,350.0
2784,260.0
2856,310.0
3208,205.0
3216,60.0
3256,180.0
3320,70.0
3336,70.0
3400,115.0
3592,110.0
3648,135.0
3960,35.0
4016,60.0
4368,230.0
4488,120.0
4496,100.0
4720,175.0
5056,155.0
5072,305.0
5368,455.0
5472,250.0
5496,385.0
5528,130.0
5536,115.0
5568,170.0
5616,50.0
5920,120.0
6232,40.0
6392,80.0
6408,105.0
6464,180.0
6488,75.0
6520,80.0
6552,75.0
6616,190.0
7032,65.0
7200,140.0
7264,135.0
7352,105.0
7384,75.0
7424,105.0
7600,55.0
7632,160.0
7784,50.0
7928,35.0
7992,330.0
8096,130.0
8168,145.0
8512,60.0
8536,15.0
8752,105.0
8792,170.0
8888,305.0
9024,50.0
9096,135.0
9224,225.0
9296,75.0
9384,85.0
9392,75.0
9888,130.0
10448,255.0
10456,175.0
10528,545.0
10544,340.0
10552,510.0
10664,500.0
10840,505.0
10952,270.0
11136,35.0
11232,135.0
11392,135.0
11472,225.0
11624,75.0
11848,235.0
12024,75.0
12080,90.0
12081,285.0
12168,150.0
12240,265.0
12328,75.0
12504,215.0
12616,60.0
12648,35.0
12808,55.0
12832,85.0
13288,30.0
13304,205.0
13408,245.0
13416,125.0
13640,220.0
13696,170.0
13792,350.0
13864,80.0
13976,25.0
14104,80.0
14168,45.0
14328,120.0
14424,90.0
14656,40.0
14664,105.0
15064,340.0
15160,235.0
15264,585.0
15296,170.0
15320,150.0
15368,20.0
15488,205.0
15576,180.0
15624,30.0
15960,125.0
16104,80.0
16120,100.0
16408,385.0
16512,180.0
16536,200.0
16640,215.0
16920,400.0
16992,120.0
17104,185.0
17120,215.0
17240,75.0
17376,80.0
17720,295.0
17744,335.0
17936,35.0
17984,165.0
18008,115.0
18072,180.0
18128,95.0
18496,170.0
18592,350.0
18720,180.0
18728,20.0
18736,40.0
18864,130.0
18880,150.0
19128,330.0
19129,105.0
19288,50.0
19320,120.0
19344,45.0
19400,35.0
19448,35.0
19784,60.0
19888,60.0
19976,105.0
20160,110.0
20208,145.0
20280,100.0
20400,160.0
20464,445.0
20808,120.0
20984,45.0
21056,110.0
21192,220.0
21208,475.0
21240,75.0
21392,160.0
21393,310.0
21496,200.0
21816,155.0
21864,45.0
22032,55.0
22088,95.0
22248,155.0
22280,160.0
22512,320.0
22568,20.0
22648,260.0
22776,120.0
22800,95.0
23032,65.0
23040,30.0
23056,160.0
23320,155.0
23456,170.0
23704,110.0
23744,320.0
23760,60.0
23872,150.0
24008,240.0
24016,130.0
24104,160.0
24352,95.0
24888,220.0
24976,210.0
25120,295.0
25144,265.0
25216,265.0
25432,155.0
25552,245.0
25688,45.0
25712,135.0
25752,235.0
25832,135.0
25936,85.0
25968,105.0
26328,75.0
26520,115.0
26696,65.0
26704,185.0
26800,220.0
26840,100.0
26920,115.0
27120,50.0
27328,260.0
27392,215.0
27432,85.0
27528,90.0
27576,95.0
27920,545.0
28008,285.0
28064,140.0
28296,110.0
28312,90.0
28384,110.0
28624,245.0
28672,80.0
28872,260.0
29064,200.0
29080,250.0
29112,100.0
29296,85.0
29352,90.0
29496,245.0
29912,260.0
30072,190.0
30152,175.0
30184,345.0
30392,280.0
30408,70.0
30560,300.0
30744,165.0
30816,60.0
30848,220.0
31000,70.0
31488,155.0
31664,210.0
31760,300.0
31808,90.0
31872,315.0
32056,175.0
32232,310.0
32328,95.0
32480,630.0
32592,40.0
32720,70.0
32928,175.0
32960,50.0
33000,145.0
33168,100.0
33192,265.0
33288,470.0
33552,75.0
33792,55.0
33840,360.0
33848,85.0
33856,195.0
33952,50.0
34144,260.0
34424,25.0
34520,225.0
34592,65.0
34832,190.0
34912,50.0
34952,255.0
34976,20.0
35040,155.0
35168,215.0
35232,55.0
35456,155.0
35640,90.0
35784,210.0
35872,100.0
35960,95.0
36272,190.0
36336,40.0
36440,410.0
36496,200.0
36576,165.0
36816,185.0
36832,540.0
36992,275.0
37112,155.0
37168,20.0
37224,65.0
37320,80.0
37576,30.0
37616,200.0
37800,80.0
37848,100.0
38032,120.0
38088,115.0
38224,85.0
38344,85.0
38360,55.0
38472,125.0
38488,400.0
38624,30.0
38728,135.0
38768,135.0
39048,60.0
39120,165.0
39368,175.0
39424,120.0
39496,85.0
39568,330.0
39704,425.0
39736,245.0
40008,160.0
40144,85.0
40216,250.0
40240,135.0
40376,95.0
40496,85.0
40664,190.0
40992,125.0
41040,175.0
41064,380.0
41208,165.0
41296,140.0
41656,155.0
41680,455.0
41776,70.0
41832,50.0
41872,215.0
42024,130.0
42080,110.0
42288,85.0
42304,265.0
42664,150.0
42880,275.0
42912,265.0
42920,25.0
43048,115.0
43232,265.0
43248,225.0
43256,175.0
43592,55.0
43616,195.0
43728,75.0
43856,135.0
43992,95.0
44048,100.0
44072,170.0
44528,290.0
44568,35.0
44576,70.0
44672,160.0
44680,145.0
44856,15.0
44880,235.0
45048,130.0
45336,45.0
45408,75.0
45488,580.0
45552,130.0
45824,295.0
45856,50.0
46000,275.0
46056,285.0
46064,100.0
46488,225.0
46608,145.0
46640,145.0
46688,205.0
46696,40.0
46896,115.0
46912,185.0
47136,175.0
47192,80.0
47296,30.0
47536,50.0
47584,215.0
47632,390.0
47760,150.0
47768,65.0
48176,295.0
48304,225.0
48456,185.0
48544,155.0
48632,190.0
48648,520.0
49080,100.0
49304,485.0
49432,130.0
49552,860.0
49584,290.0
49608,175.0
49672,205.0
49832,75.0
50032,305.0
50033,110.0
50328,65.0
50344,115.0
50416,105.0
50768,440.0
50848,45.0
50856,100.0
51072,170.0
51112,225.0
51176,80.0
51344,55.0
51400,455.0
51480,255.0
51560,70.0
52280,95.0
52416,235.0
52680,445.0
52776,325.0
52784,360.0
52785,295.0
53008,55.0
53160,75.0
53184,470.0
53216,455.0
53560,65.0
53616,210.0
53776,100.0
53968,300.0
54320,385.0
54344,130.0
54360,305.0
54496,120.0
54552,205.0
54792,60.0
54952,325.0
54976,205.0
55072,80.0
55544,210.0
55632,295.0
55760,90.0
55816,320.0
56072,395.0
56168,275.0
56184,55.0
56376,40.0
56408,495.0
56576,145.0
56616,290.0
56736,80.0
56856,160.0
57400,70.0
57424,90.0
57512,195.0
57600,130.0
57664,295.0
57688,300.0
57888,140.0
58072,365.0
58312,60.0
58488,65.0
58624,75.0
58664,225.0
58928,120.0
59136,615.0
59256,225.0
59440,435.0
59680,50.0
59776,250.0
59800,220.0
60008,605.0
60120,560.0
60200,15.0
60232,455.0
60264,65.0
60576,90.0
60600,220.0
60608,290.0
61096,215.0
61184,25.0
61360,225.0
61368,175.0
61464,315.0
61544,305.0
61608,330.0
61992,65.0
61993,55.0
62064,200.0
62104,75.0
62416,575.0
62496,200.0
62568,255.0
62904,195.0
63064,125.0
63200,435.0
63448,245.0
63544,340.0
63608,455.0
63632,195.0
63912,180.0
64192,280.0
64352,385.0
64432,395.0
64504,145.0
64656,180.0
64736,255.0
65104,150.0
65120,405.0
65240,180.0
65416,150.0
65576,295.0
65736,145.0
66128,395.0
66232,485.0
66280,260.0
66512,210.0
66672,80.0
66688,335.0
66984,380.0
66985,375.0
67120,35.0
67248,75.0
67256,210.0
67760,350.0
67792,145.0
68184,210.0
68632,300.0
68712,350.0
68776,285.0
68777,220.0
68784,540.0
69056,355.0
69376,130.0
69384,280.0
69560,80.0
69568,95.0
69648,105.0
69808,415.0
70152,335.0
70448,225.0
70480,250.0
70496,495.0
70624,140.0
70640,130.0
71016,400.0
71104,310.0
71440,140.0
71632,240.0
71720,145.0
71776,215.0
71856,305.0
72016,505.0
72112,170.0
72232,460.0
72424,305.0
72472,145.0
72640,135.0
73128,170.0
73248,105.0
73264,265.0
73352,405.0
73432,250.0
73560,370.0
73616,15.0
73617,395.0
73984,290.0
74432,245.0
74433,550.0
74480,135.0
74536,355.0
74576,120.0
74888,300.0
74896,255.0
75168,100.0
75328,215.0
75520,180.0
75680,270.0
76016,320.0
76128,375.0
76176,190.0
76352,200.0
76392,325.0
76568,410.0
76672,200.0
76960,275.0
77008,70.0
77304,315.0
77464,410.0
77584,210.0
77616,225.0
77776,270.0
77968,170.0
78024,295.0
78064,315.0
78456,335.0
78496,115.0
78616,185.0
78920,195.0
78944,350.0
79088,275.0
79120,220.0
79256,170.0
79440,305.0
79448,115.0
79616,190.0
80216,280.0
80320,270.0
80464,530.0
80480,350.0
80488,400.0
80568,155.0
80904,330.0
80928,75.0
81200,125.0
81568,800.0
81784,230.0
81936,445.0
81992,95.0
82056,40.0
82128,735.0
82184,345.0
82224,450.0
82600,595.0
82976,175.0
83208,145.0
83264,485.0
83265,225.0
83320,230.0
83440,550.0
83464,125.0
83592,430.0
84248,95.0
84480,405.0
84496,305.0
84624,245.0
84864,345.0
84928,690.0
84952,490.0
85096,110.0
85168,810.0
85176,60.0
85632,175.0
85840,395.0
85992,275.0
86000,105.0
86192,160.0
86408,685.0
86448,470.0
86768,445.0
86840,280.0
87208,130.0
87280,595.0
87384,385.0
87440,325.0
87464,345.0
88144,145.0
88168,495.0
88176,250.0
88392,225.0
88400,270.0
88416,370.0
88728,85.0
89088,570.0
89120,470.0
89312,110.0
89696,245.0
89936,530.0
90064,515.0
90072,195.0
90216,490.0
90224,195.0
90408,305.0
90568,510.0
90832,95.0
90856,80.0
90976,175.0
91064,315.0
91320,320.0
91336,205.0
91440,55.0
91616,115.0
91656,260.0
91776,100.0
92056,435.0
92088,195.0
92184,460.0
92480,160.0
92496,135.0
93032,400.0
93104,475.0
93168,450.0
93400,450.0
93464,240.0
93480,870.0
93504,460.0
93968,75.0
94136,510.0
94264,250.0
94456,165.0
94488,180.0
94696,380.0
94856,155.0
94920,315.0
94968,515.0
95120,195.0
95400,155.0
95401,205.0
96024,375.0
96128,215.0
96144,345.0
96184,295.0
96280,285.0
96472,230.0
96632,690.0
96752,115.0
96888,120.0
97024,440.0
97432,155.0
97520,315.0
97584,225.0
97632,695.0
97824,100.0
97848,390.0
98192,335.0
98496,400.0
98560,265.0
98824,305.0
98992,165.0
99272,400.0
99312,515.0
99416,665.0
99520,195.0
99784,350.0
99800,115.0
99848,120.0
99944,295.0
100216,150.0
100376,335.0
100464,80.0
100640,265.0
100728,290.0
100864,155.0
101048,40.0
101104,115.0
101248,325.0
101384,140.0
101512,755.0
101680,345.0
101792,465.0
102008,275.0
102216,170.0
102376,415.0
102568,305.0
102584,225.0
102616,500.0
103008,175.0
103488,615.0
103536,220.0
103712,265.0
103736,265.0
103768,395.0
103856,600.0
103984,315.0
104128,355.0
104512,130.0
104656,505.0
104800,155.0
105200,465.0
105408,235.0
105432,640.0
105472,405.0
105528,220.0
105800,390.0
105824,340.0
106056,80.0
106064,295.0
106336,345.0
106360,180.0
106376,280.0
106520,155.0
106728,280.0
106800,60.0
107152,475.0
107168,135.0
107320,155.0
107368,105.0
107408,185.0
107632,190.0
107688,395.0
107896,270.0
108312,320.0
108384,310.0
108528,350.0
108704,360.0
108800,175.0
108920,330.0
109248,290.0
109264,170.0
109512,270.0
109536,605.0
109792,185.0
110136,445.0
110152,435.0
110224,480.0
110232,230.0
110536,145.0
110672,70.0
110784,710.0
110984,360.0
111456,645.0
111520,380.0
111584,365.0
111856,395.0
111992,470.0
112024,290.0
112112,535.0
112184,105.0
112272,290.0
112400,170.0
112600,120.0
112952,130.0
112976,270.0
113040,115.0
113368,505.0
113504,320.0
113704,80.0
113705,250.0
113784,495.0
113816,350.0
113912,105.0
114472,235.0
114488,425.0
114864,645.0
114928,240.0
115080,165.0
115112,380.0
115152,100.0
115192,665.0
115264,645.0
115320,170.0
115496,80.0
116112,480.0
116168,105.0
116280,230.0
116288,130.0
116376,265.0
116408,280.0
116584,445.0
116984,545.0
117288,205.0
117360,380.0
117528,310.0
117736,385.0
117776,515.0
117848,260.0
118040,270.0
118168,125.0
118320,135.0
118448,600.0
118928,200.0
119104,460.0
119120,255.0
119128,425.0
119328,390.0
119344,160.0
119400,350.0
119768,100.0
119880,175.0
119984,420.0
120144,170.0
120296,125.0
120432,175.0
120472,295.0
120760,190.0
120784,405.0
120920,155.0
121128,260.0
121232,360.0
121256,125.0
121416,205.0
121528,115.0
121672,380.0
122016,125.0
122208,290.0
122384,320.0
122520,150.0
122568,455.0
122880,295.0
122920,575.0
122984,55.0
122992,250.0
123344,445.0
123456,260.0
123800,295.0
123968,145.0
124112,655.0
124144,210.0
124176,435.0
124216,585.0
124224,195.0
124624,170.0
124688,115.0
124736,110.0
125200,390.0
125208,250.0
125328,260.0
125720,285.0
125728,415.0
125816,265.0
125832,670.0
126200,535.0
126280,85.0
126344,205.0
126488,495.0
126784,290.0
126808,360.0
127016,250.0
127312,370.0
127568,245.0
127624,225.0
127728,330.0
127968,475.0
128240,455.0
128392,390.0
128448,245.0
128536,180.0
128832,400.0
129080,350.0
129184,335.0
129248,435.0
129360,115.0
129424,335.0
129456,305.0
129848,300.0
129976,260.0
130008,195.0
130312,230.0
130440,235.0
130456,335.0
130584,420.0
130808,355.0
131112,110.0
131168,350.0
131448,245.0
131520,200.0
131568,365.0
131616,420.0
131920,265.0
132296,540.0
132360,210.0
132456,340.0
132504,200.0
132624,405.0
132888,285.0
132952,350.0
133480,240.0
133496,345.0
133696,180.0
133704,570.0
133808,190.0
134056,405.0
134168,530.0
134736,215.0
134744,520.0
134928,235.0
134936,500.0
135328,570.0
135336,445.0
135400,385.0
135568,115.0
135640,185.0
135688,380.0
136104,340.0
136144,115.0
136248,140.0
136312,380.0
136512,210.0
136832,70.0
136904,365.0
136936,230.0
137136,295.0
137184,260.0
137296,485.0
137400,415.0
137432,335.0
137832,235.0
137968,165.0
138328,250.0
138416,305.0
138456,335.0
138512,350.0
138513,210.0
138784,570.0
139216,465.0
139368,190.0
139608,410.0
139640,540.0
139792,325.0
139848,320.0
140336,410.0
140337,265.0
140624,680.0
140800,385.0
140896,310.0
141408,515.0
141448,705.0
141512,265.0
141544,285.0
141600,575.0
142216,335.0
142272,345.0
142648,400.0
142768,250.0
142944,360.0
142960,350.0
143008,445.0
143288,105.0
143488,180.0
143520,575.0
143744,350.0
144232,380.0
144240,95.0
144336,330.0
144624,415.0
144648,335.0
144816,375.0
145144,550.0
145448,670.0
145472,220.0
145488,225.0
145728,315.0
145984,70.0
146048,275.0
146104,175.0
146400,180.0
146408,430.0
146736,680.0
146960,205.0
147184,445.0
147552,205.0
147696,445.0
147808,175.0
147904,470.0
147920,690.0
148016,535.0
148136,675.0
148688,315.0
149048,545.0
149272,375.0
149376,115.0
149384,470.0
149648,485.0
149752,565.0
149832,430.0
149840,95.0
149920,735.0
150160,190.0
150328,125.0
150528,20.0
150832,365.0
150920,235.0
151016,330.0
151096,340.0
151120,355.0
151248,415.0
151472,185.0
151832,405.0
152008,220.0
152088,145.0
152336,340.0
152392,170.0
152576,480.0
152600,500.0
152880,455.0
153008,55.0
153248,125.0
153536,390.0
153624,320.0
153680,450.0
154024,545.0
154056,490.0
154152,185.0
154648,290.0
154784,215.0
154848,350.0
155096,415.0
155112,580.0
155264,300.0
155424,290.0
155768,520.0
155872,225.0
156136,405.0
156137,400.0
156240,230.0
156376,290.0
156728,470.0
156736,275.0
156880,170.0
157216,220.0
157320,305.0
157344,535.0
157600,370.0
157648,150.0
157672,215.0
157840,470.0
158024,90.0
158184,320.0
158600,290.0
158632,540.0
159048,315.0
159104,205.0
159152,255.0
159312,395.0
159440,575.0
159536,490.0
159744,460.0
160136,140.0
160336,190.0
160480,345.0
160512,190.0
160648,340.0
160696,830.0
161352,120.0
161353,520.0
161368,495.0
161608,330.0
161672,455.0
161896,340.0
161944,340.0
162496,510.0
162648,360.0
162728,280.0
162760,155.0
162768,310.0
163128,285.0
163136,560.0
163424,680.0
163704,225.0
163705,235.0
163760,215.0
163976,310.0
164120,315.0
164328,125.0
164376,200.0
164400,320.0
164536,405.0
164552,140.0
165200,255.0
165648,515.0
165704,320.0
165712,80.0
165736,355.0
165872,525.0
166016,370.0
166232,60.0
166288,540.0
166328,460.0
166800,220.0
166872,345.0
167032,170.0
167224,425.0
167728,545.0
167888,565.0
167920,440.0
167936,635.0
168320,155.0
168400,60.0
168576,535.0
168672,395.0
169056,570.0
169256,195.0
169272,365.0
169592,685.0
169608,655.0
169896,270.0
170008,350.0
170056,355.0
170160,175.0
170256,235.0
170640,295.0
170744,685.0
170944,440.0
171664,280.0
171680,355.0
171704,555.0
171824,235.0
171896,435.0
172224,440.0
172528,495.0
172672,425.0
172800,85.0
173048,305.0
173160,390.0
173192,325.0
173488,395.0
173584,585.0
173872,385.0
174272,330.0
174352,335.0
174592,370.0
174664,745.0
174784,480.0
174832,355.0
175152,380.0
175304,405.0
175360,275.0
175512,320.0
175616,175.0
175904,405.0
176112,390.0
176192,165.0
176392,405.0
176520,135.0
176664,390.0
176665,130.0
177544,215.0
177560,275.0
177632,320.0
177720,525.0
177776,870.0
178200,515.0
178256,830.0
178272,95.0
178344,525.0
179112,315.0
179184,640.0
179336,210.0
179344,390.0
179376,250.0
179464,280.0
179656,520.0
179680,480.0
180128,200.0
180288,170.0
180488,315.0
180600,340.0
180824,410.0
180880,285.0
180896,400.0
180992,50.0
181216,395.0
181288,165.0
181712,145.0
181768,575.0
182016,620.0
182088,245.0
182288,355.0
182408,360.0
182704,160.0
183000,430.0
183072,275.0
183208,220.0
183240,530.0
183288,545.0
183552,670.0
183856,125.0
183872,165.0
184064,550.0
184192,620.0
184448,305.0
184512,630.0
184888,695.0
185064,425.0
185272,310.0
185424,155.0
185608,510.0
185696,355.0
185784,175.0
186080,215.0
186088,55.0
186216,445.0
186256,545.0
186776,305.0
186936,345.0
186992,365.0
187248,170.0
187272,310.0
187392,295.0
187440,790.0
187800,70.0
188088,585.0
188104,290.0
188304,415.0
188368,185.0
188456,390.0
188704,400.0
189064,360.0
189112,145.0
189168,220.0
189200,150.0
189240,565.0
189312,320.0
189544,170.0
189600,65.0
190136,415.0
190312,210.0
190488,405.0
190680,275.0
190696,250.0
190784,370.0
190896,700.0
191208,165.0
191288,450.0
191336,220.0
191592,225.0
191616,160.0
191904,485.0
192184,420.0
192224,320.0
192472,350.0
192880,395.0
192920,375.0
193232,490.0
193320,155.0
193416,60.0
193568,535.0
193584,265.0
193585,650.0
193656,425.0
193896,225.0
193936,90.0
194480,160.0
194808,325.0
194904,270.0
194976,370.0
195008,385.0
195264,585.0
195416,435.0
195472,390.0
195800,250.0
195832,525.0
196088,135.0
196272,310.0
196273,340.0
196344,315.0
196368,150.0
196664,295.0
196968,180.0
197056,75.0
197064,395.0
197120,180.0
197304,375.0
197320,65.0
197328,210.0
198216,525.0
198272,310.0
198328,365.0
198352,300.0
198560,215.0
198816,140.0
198920,495.0
199160,745.0
199640,420.0
199960,510.0
200024,575.0
200048,140.0
200136,385.0
200160,345.0
200256,515.0
200744,625.0
201032,305.0
201536,365.0
201576,380.0
201632,425.0
201680,455.0
201744,185.0
201872,405.0
201888,485.0
202496,320.0
202512,135.0
