method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,300,307200,45.5,46.984,307200
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,25.3,72.614,460800
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,28.5,101.462,614400
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,31.1,133.117,768000
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,113.7,247.597,1280000
finetune,5,"biggrid50-goal(27,3)",finetune,500,512000,123.5,372.099,1792000
finetune,6,"biggrid50-goal(3,31)",finetune,300,307200,80.1,453.333,2099200
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,43.3,498.017,2252800
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,152.5,652.099,2764800
finetune,9,"biggrid50-goal(21,45)",finetune,500,512000,162.3,816.115,3276800
finetune,10,"biggrid50-goal(33,3)",finetune,150,153600,52.0,870.013,3430400
finetune,11,"biggrid50-goal(21,24)",finetune,150,153600,55.0,927.117,3584000
finetune,12,"biggrid50-goal(21,3)",finetune,400,409600,152.1,1081.502,3993600
finetune,13,"biggrid50-goal(3,17)",finetune,150,153600,60.5,1144.421,4147200
finetune,14,"biggrid50-goal(15,45)",finetune,150,153600,62.8,1209.951,4300800
finetune,15,"biggrid50-goal(3,24)",finetune,150,153600,65.7,1278.501,4454400
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,228.4,1509.973,4966400
finetune,17,"biggrid50-goal(46,31)",finetune,300,307200,142.7,1655.964,5273600
finetune,18,"biggrid50-goal(46,24)",finetune,200,204800,100.1,1759.434,5478400
finetune,19,"biggrid50-goal(3,45)",finetune,150,153600,77.8,1840.906,5632000
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,266.9,2111.619,6144000
finetune,21,"biggrid50-goal(40,3)",finetune,300,307200,163.7,2279.237,6451200
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,84.8,2368.1,6604800
finetune,23,"biggrid50-goal(40,45)",finetune,350,358400,204.0,2576.446,6963200
finetune,24,"biggrid50-goal(15,17)",finetune,350,358400,210.6,2791.628,7321600
finetune,25,"biggrid50-goal(15,24)",finetune,150,153600,93.0,2889.362,7475200
finetune,26,"biggrid50-goal(21,38)",finetune,150,153600,95.9,2990.147,7628800
finetune,27,"biggrid50-goal(33,17)",finetune,150,153600,98.4,3093.604,7782400
finetune,28,"biggrid50-goal(27,17)",finetune,500,512000,336.9,3435.752,8294400
finetune,29,"biggrid50-goal(3,3)",finetune,500,512000,346.3,3787.522,8806400
finetune,30,"biggrid50-goal(9,10)",finetune,150,153600,107.1,3900.327,8960000
finetune,31,"biggrid50-goal(46,17)",finetune,150,153600,109.6,4015.774,9113600
finetune,32,"biggrid50-goal(40,10)",finetune,500,512000,374.6,4396.368,9625600
finetune,33,"biggrid50-goal(46,38)",finetune,250,256000,191.0,4593.603,9881600
finetune,34,"biggrid50-goal(27,31)",finetune,150,153600,117.7,4717.69,10035200
finetune,35,"biggrid50-goal(21,31)",finetune,150,153600,121.6,4845.825,10188800
finetune,36,"biggrid50-goal(46,10)",finetune,150,153600,123.9,4976.546,10342400
finetune,37,"biggrid50-goal(9,17)",finetune,200,204800,168.0,5151.493,10547200
finetune,38,"biggrid50-goal(33,24)",finetune,300,307200,259.3,5417.895,10854400
finetune,39,"biggrid50-goal(40,17)",finetune,150,153600,132.6,5557.878,11008000
finetune,40,"biggrid50-goal(40,38)",finetune,500,512000,447.5,6012.872,11520000
finetune,41,"biggrid50-goal(33,38)",finetune,150,153600,137.2,6157.767,11673600
finetune,42,"biggrid50-goal(9,45)",finetune,150,153600,140.2,6305.841,11827200
finetune,43,"biggrid50-goal(9,38)",finetune,150,153600,143.5,6457.418,11980800
finetune,44,"biggrid50-goal(9,3)",finetune,500,512000,487.5,6953.211,12492800
finetune,45,"biggrid50-goal(40,24)",finetune,150,153600,148.3,7109.995,12646400
finetune,46,"biggrid50-goal(33,31)",finetune,150,153600,150.7,7269.326,12800000
finetune,47,"biggrid50-goal(46,45)",finetune,200,204800,206.6,7484.693,13004800
finetune,48,"biggrid50-goal(3,38)",finetune,150,153600,157.3,7651.023,13158400
finetune,49,"biggrid50-goal(46,3)",finetune,150,153600,159.5,7819.716,13312000
