iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
70,581632,145408,250,207.8,17.81,,-0.0224,0.0754,2.5783,0.00678,0.3271
71,589824,147456,254,210.3,17.92,,-0.0293,0.0577,2.5915,0.00717,0.3585
72,598016,149504,256,212.7,18.01,,-0.0272,0.0702,2.5812,0.0064,0.3237
73,606208,151552,258,215.2,17.99,,-0.0288,0.072,2.5503,0.00765,0.3612
74,614400,153600,264,217.6,18.04,,-0.0294,0.0694,2.5572,0.00729,0.34
75,622592,155648,268,220.0,18.13,,-0.0243,0.0748,2.5558,0.00694,0.3406
76,630784,157696,271,222.5,18.2,,-0.0264,0.0842,2.5925,0.00589,0.308
77,638976,159744,273,224.9,18.27,,-0.033,0.0581,2.5564,0.00733,0.3436
78,647168,161792,277,227.3,18.23,,-0.0278,0.0762,2.5633,0.00869,0.3656
79,655360,163840,281,229.8,18.61,,-0.0296,0.0659,2.5254,0.00867,0.3871
80,663552,165888,285,232.2,18.8,,-0.034,0.0812,2.5366,0.00885,0.3596
81,671744,167936,288,234.6,18.9,,-0.0307,0.0823,2.5533,0.00813,0.3707
82,679936,169984,291,237.1,18.75,,-0.03,0.0715,2.5516,0.00905,0.3807
83,688128,172032,294,239.5,18.77,,-0.0317,0.0633,2.5611,0.00971,0.4036
84,696320,174080,298,241.9,18.85,,-0.0335,0.077,2.5543,0.00871,0.3584
85,704512,176128,302,244.4,19.06,,-0.0278,0.0651,2.5563,0.0089,0.3976
86,712704,178176,304,246.8,19.37,,-0.0317,0.0681,2.5639,0.00911,0.3984
87,720896,180224,309,249.3,19.51,,-0.0274,0.086,2.5745,0.00749,0.34
88,729088,182272,313,251.7,19.59,,-0.032,0.0687,2.5512,0.0097,0.3872
89,737280,184320,318,254.1,19.57,,-0.0317,0.071,2.5604,0.00873,0.3698
90,745472,186368,322,256.6,19.32,,-0.0334,0.0723,2.5715,0.00843,0.3761
91,753664,188416,324,259.0,19.38,,-0.0307,0.07,2.5498,0.00888,0.3855
92,761856,190464,328,261.4,19.43,,-0.0319,0.0759,2.5387,0.00955,0.3889
93,770048,192512,330,263.9,19.56,,-0.0325,0.0702,2.5327,0.01115,0.4304
94,778240,194560,335,266.3,19.68,,-0.0324,0.0781,2.5671,0.00937,0.3961
95,786432,196608,340,268.8,19.87,,-0.0331,0.0599,2.5516,0.01079,0.413
96,794624,198656,343,271.2,19.58,,-0.0319,0.0813,2.5558,0.00931,0.4033
97,802816,200704,346,273.6,19.46,,-0.0314,0.0677,2.5468,0.01027,0.3988
98,811008,202752,350,276.1,19.47,,-0.03,0.0947,2.5496,0.00952,0.3884
99,819200,204800,355,278.5,19.58,,-0.0329,0.0542,2.5754,0.01037,0.421
100,827392,206848,357,336.1,19.7,388.9200134277344,-0.0345,0.0682,2.5648,0.00923,0.3979
101,835584,208896,360,338.5,19.65,,-0.035,0.0715,2.5547,0.01008,0.3945
102,843776,210944,367,341.0,19.33,,-0.0331,0.0712,2.559,0.0102,0.3917
103,851968,212992,369,343.4,19.15,,-0.0306,0.0892,2.5309,0.0105,0.4076
104,860160,215040,372,345.8,19.09,,-0.0317,0.0818,2.5142,0.01015,0.4271
105,868352,217088,375,348.3,19.22,,-0.0327,0.0813,2.5105,0.01062,0.4115
106,876544,219136,378,350.7,19.27,,-0.0352,0.0792,2.5342,0.01033,0.4082
107,884736,221184,382,353.1,18.98,,-0.0284,0.0976,2.5029,0.00778,0.3571
108,892928,223232,389,355.6,19.05,,-0.034,0.0772,2.5184,0.01222,0.4343
109,901120,225280,390,358.0,19.02,,-0.0304,0.0765,2.5092,0.01027,0.4113
110,909312,227328,391,360.4,19.06,,-0.0304,0.0831,2.5051,0.00943,0.3815
111,917504,229376,399,362.9,19.08,,-0.0316,0.0791,2.4914,0.01129,0.4136
112,925696,231424,400,365.3,19.0,,-0.0329,0.0819,2.5008,0.00987,0.4142
113,933888,233472,405,367.8,19.17,,-0.0342,0.0691,2.4926,0.01226,0.4447
114,942080,235520,406,370.2,19.18,,-0.0335,0.0656,2.4632,0.01235,0.4259
115,950272,237568,408,372.6,19.2,,-0.035,0.0726,2.4824,0.01082,0.4072
116,958464,239616,413,375.1,19.42,,-0.0347,0.0694,2.4844,0.01095,0.4235
117,966656,241664,418,377.5,19.71,,-0.0336,0.0663,2.4979,0.01195,0.4349
118,974848,243712,422,380.0,19.87,,-0.0309,0.0788,2.4425,0.00965,0.4178
119,983040,245760,424,382.4,19.93,,-0.0344,0.0615,2.4418,0.01182,0.4095
120,991232,247808,426,384.8,20.16,,-0.0319,0.0818,2.4596,0.01167,0.4128
121,999424,249856,431,387.3,20.24,,-0.033,0.0923,2.4443,0.01122,0.4052
122,1007616,251904,435,389.7,20.21,,-0.0302,0.0922,2.3985,0.01088,0.4078
123,1015808,253952,438,392.1,20.09,,-0.0349,0.0626,2.4123,0.01133,0.4052
124,1024000,256000,441,394.6,20.18,,-0.0311,0.0873,2.3842,0.01191,0.4303
125,1032192,258048,444,397.0,20.4,,-0.0361,0.0606,2.4067,0.01226,0.4381
126,1040384,260096,448,399.4,20.47,,-0.0329,0.0693,2.4168,0.01276,0.4312
127,1048576,262144,452,401.9,20.48,,-0.0354,0.0687,2.4061,0.01361,0.444
128,1056768,264192,455,404.3,20.58,,-0.0331,0.0775,2.4464,0.01177,0.4089
129,1064960,266240,458,406.8,20.66,,-0.0319,0.0916,2.4442,0.01516,0.4757
130,1073152,268288,462,409.2,20.89,,-0.0359,0.0671,2.4389,0.01239,0.4489
131,1081344,270336,466,411.6,21.17,,-0.0343,0.0966,2.4301,0.011,0.3912
132,1089536,272384,469,414.1,21.36,,-0.0372,0.0648,2.4237,0.01353,0.434
133,1097728,274432,473,416.5,21.36,,-0.0337,0.0898,2.4214,0.0125,0.4321
134,1105920,276480,476,418.9,21.32,,-0.0355,0.0847,2.4179,0.01279,0.4258
135,1114112,278528,480,421.4,21.29,,-0.0339,0.0969,2.414,0.01257,0.4324
136,1122304,280576,483,423.8,21.41,,-0.0332,0.0731,2.4092,0.01183,0.4197
137,1130496,282624,485,426.2,21.24,,-0.0351,0.0656,2.41,0.01456,0.427
138,1138688,284672,490,428.7,21.57,,-0.0359,0.0708,2.4214,0.01327,0.4393
139,1146880,286720,493,431.1,21.71,,-0.0365,0.0666,2.4266,0.01269,0.4298
140,1155072,288768,495,433.5,21.61,,-0.0325,0.0808,2.3942,0.01418,0.4379
141,1163264,290816,500,436.0,22.1,,-0.034,0.0953,2.411,0.01118,0.4257
142,1171456,292864,504,438.4,21.91,,-0.03,0.0915,2.3847,0.01512,0.4669
143,1179648,294912,510,440.9,22.08,,-0.0333,0.0891,2.3787,0.01569,0.4584
144,1187840,296960,512,443.3,21.85,,-0.0301,0.0784,2.3791,0.01247,0.4489
145,1196032,299008,514,445.7,21.8,,-0.0333,0.0822,2.3745,0.01289,0.4395
146,1204224,301056,520,448.2,21.76,,-0.033,0.0888,2.38,0.01279,0.4529
147,1212416,303104,523,450.6,21.76,,-0.0311,0.0813,2.4152,0.01296,0.4353
148,1220608,305152,526,453.0,21.68,,-0.033,0.0817,2.4007,0.01008,0.401
149,1228800,307200,528,455.5,21.63,,-0.0339,0.0735,2.364,0.01361,0.4508
150,1236992,309248,533,457.9,21.76,,-0.0343,0.0727,2.3554,0.015,0.4479
151,1245184,311296,537,460.3,21.74,,-0.0368,0.0621,2.3627,0.01463,0.47
152,1253376,313344,542,462.8,21.8,,-0.0333,0.0671,2.3432,0.01272,0.4348
153,1261568,315392,542,465.2,21.8,,-0.0369,0.0781,2.3273,0.01308,0.4349
154,1269760,317440,546,467.6,21.87,,-0.0337,0.0701,2.3442,0.01687,0.4663
155,1277952,319488,551,470.1,21.93,,-0.0331,0.0759,2.3107,0.01402,0.438
156,1286144,321536,556,472.5,21.67,,-0.0334,0.0763,2.3156,0.01501,0.4541
157,1294336,323584,558,474.9,21.73,,-0.0301,0.0732,2.3855,0.01242,0.4498
158,1302528,325632,559,477.4,21.7,,-0.0356,0.0646,2.3451,0.01541,0.4524
159,1310720,327680,566,479.8,21.58,,-0.0385,0.0672,2.3217,0.01481,0.4402
