method,task_idx,iter,mu,shortfall_current,coeff_current,grad_share_past,t_wall
constrained,1,0,0.0,0.057730481028556824,0.0,,63.63
constrained,1,5,0.0,0.06858022511005402,0.0,,64.839
constrained,1,10,0.0,0.055170925334095955,0.0,,66.398
constrained,1,15,0.0,0.05331923067569733,0.0,,67.61
constrained,1,20,0.0,0.05426991358399391,0.0,,69.168
constrained,1,25,0.0,0.06378209963440895,0.0,,70.376
constrained,1,30,0.0,0.06438399851322174,0.0,,71.934
constrained,1,35,0.0,0.06645999476313591,0.0,,73.147
constrained,1,40,0.0,0.06343266740441322,0.0,,74.706
constrained,1,45,0.0,0.059723781421780586,0.0,,75.912
constrained,1,50,0.0,0.04616382345557213,0.0,,77.648
constrained,1,55,0.0,0.04720829054713249,0.0,,78.854
constrained,1,60,0.0,0.03492920473217964,0.0,,80.417
constrained,1,65,0.0,0.039850231260061264,0.0,,81.624
constrained,1,70,0.0,0.03141169250011444,0.0,,83.182
constrained,1,75,0.0,0.037165723741054535,0.0,,84.389
constrained,1,80,0.0,0.03696263208985329,0.0,,85.951
constrained,1,85,0.0,0.029204238206148148,0.0,,87.16
constrained,1,90,0.0,0.03399220481514931,0.0,,88.722
constrained,1,95,0.0,0.03021978586912155,0.0,,89.93
constrained,1,100,0.0,0.03306204825639725,0.0,,91.667
constrained,1,105,0.0,0.034948959946632385,0.0,,92.875
constrained,1,110,0.0,0.02792229875922203,0.0,,94.435
constrained,1,115,0.0,0.03135160729289055,0.0,,95.642
constrained,1,120,0.0,0.040937408804893494,0.0,,97.2
constrained,1,125,0.0,0.04044179990887642,0.0,,98.41
constrained,1,130,0.0,0.04603954777121544,0.0,,99.971
constrained,1,135,0.0,0.041390836238861084,0.0,,101.18
constrained,1,140,0.0,0.04284623637795448,0.0,,102.739
constrained,1,145,0.0,0.024140596389770508,0.0,,103.947
constrained,2,0,0.0,0.00830935314297676,0.0,,132.538
constrained,2,5,0.0,0.006106279790401459,0.0,,133.751
constrained,2,10,0.0,0.005259864032268524,0.0,,135.494
constrained,2,15,0.0,0.0028326213359832764,0.0,,136.708
constrained,2,20,0.0,0.0,0.0,,138.451
constrained,2,25,0.0,0.0,0.0,,139.663
constrained,2,30,0.0,0.0,0.0,,141.404
constrained,2,35,0.0,0.0,0.0,,142.615
constrained,2,40,0.0,0.0,0.0,,144.362
constrained,2,45,0.0,0.004730742424726486,0.0,,145.575
constrained,2,50,0.0,0.0,0.0,,147.59
constrained,2,55,0.0,0.0,0.0,,148.802
constrained,2,60,0.0,0.0,0.0,,150.544
constrained,2,65,0.0,0.0,0.0,,151.754
constrained,2,70,0.0,0.0,0.0,,153.495
constrained,2,75,0.0,0.0,0.0,,154.707
constrained,2,80,0.0,0.0,0.0,,156.449
constrained,2,85,0.0,0.0,0.0,,157.663
constrained,2,90,0.0,0.0,0.0,,159.404
constrained,2,95,0.0,0.0,0.0,,160.614
constrained,2,100,0.0,0.0,0.0,,162.625
constrained,2,105,0.0,0.0,0.0,,163.839
constrained,2,110,0.0,0.0,0.0,,165.585
constrained,2,115,0.0,0.0,0.0,,166.796
constrained,2,120,0.0,0.0,0.0,,168.544
constrained,2,125,0.0,0.0,0.0,,169.762
constrained,2,130,0.0,0.0,0.0,,171.503
constrained,2,135,0.0,0.0,0.0,,172.717
constrained,2,140,0.0,0.0,0.0,,174.464
constrained,2,145,0.0,0.0,0.0,,175.676
constrained,3,0,0.0,0.09007933363318443,0.0,,226.728
constrained,3,5,0.0,0.06790488213300705,0.0,,227.946
constrained,3,10,0.0,0.06966324150562286,0.0,,229.872
constrained,3,15,0.0,0.05583443492650986,0.0,,231.085
constrained,3,20,0.0,0.05603731796145439,0.0,,233.008
constrained,3,25,0.0,0.04962381720542908,0.0,,234.222
constrained,3,30,0.0,0.026085011661052704,0.0,,236.15
constrained,3,35,0.0,0.03665170073509216,0.0,,237.366
constrained,3,40,0.0,0.02748047560453415,0.0,,239.291
constrained,3,45,0.0,0.024584844708442688,0.0,,240.505
constrained,3,50,0.0,0.014491211622953415,0.0,,242.791
constrained,3,55,0.0,0.022100571542978287,0.0,,244.008
constrained,3,60,0.0,0.0315774530172348,0.0,,245.933
constrained,3,65,0.0,0.041096389293670654,0.0,,247.148
constrained,3,70,0.0,0.022948920726776123,0.0,,249.074
constrained,3,75,0.0,0.03906114771962166,0.0,,250.289
constrained,3,80,0.0,0.04344790056347847,0.0,,252.211
constrained,3,85,0.0,0.04341902211308479,0.0,,253.424
constrained,3,90,0.0,0.03809055685997009,0.0,,255.349
constrained,3,95,0.0,0.02281007543206215,0.0,,256.562
constrained,3,100,0.0,0.025135952979326248,0.0,,258.847
constrained,3,105,0.0,0.035677023231983185,0.0,,260.061
constrained,3,110,0.0,0.025141950696706772,0.0,,261.984
constrained,3,115,0.0,0.03447287529706955,0.0,,263.199
constrained,3,120,0.0,0.020577922463417053,0.0,,265.122
constrained,3,125,0.0,0.029559243470430374,0.0,,266.335
constrained,3,130,0.0,0.033701762557029724,0.0,,268.258
constrained,3,135,0.0,0.03381778672337532,0.0,,269.471
constrained,3,140,0.0,0.017425939440727234,0.0,,271.332
constrained,3,145,0.0,0.038779497146606445,0.0,,272.545
constrained,4,0,0.0,0.08247281238436699,0.0,,328.023
constrained,4,5,0.0,0.07912365719676018,0.0,,329.229
constrained,4,10,0.0,0.06648838892579079,0.0,,331.314
constrained,4,15,0.0,0.0649925209581852,0.0,,332.519
constrained,4,20,0.0,0.05899397283792496,0.0,,334.606
constrained,4,25,0.0,0.05518677830696106,0.0,,335.813
constrained,4,30,0.0,0.051969218999147415,0.0,,337.902
constrained,4,35,0.0,0.04684508964419365,0.0,,339.11
constrained,4,40,0.0,0.04909224063158035,0.0,,341.198
constrained,4,45,0.0,0.02458786964416504,0.0,,342.404
constrained,4,50,0.0,0.04894404485821724,0.0,,344.942
constrained,4,55,0.0,0.0337667353451252,0.0,,346.147
constrained,4,60,0.0,0.06554137542843819,0.0,,348.233
constrained,4,65,0.0,0.04540390148758888,0.0,,349.437
constrained,4,70,0.0,0.04083002358675003,0.0,,351.521
constrained,4,75,0.0,0.044006701558828354,0.0,,352.732
constrained,4,80,0.0,0.05155283212661743,0.0,,354.817
constrained,4,85,0.0,0.07621905580163002,0.0,,356.022
constrained,4,90,0.0,0.0729801282286644,0.0,,358.05
constrained,4,95,0.0,0.05305195972323418,0.0,,359.256
constrained,4,100,0.0,0.05091796815395355,0.0,,361.79
constrained,4,105,0.0,0.03698777034878731,0.0,,362.993
constrained,4,110,0.0,0.04343752562999725,0.0,,365.082
constrained,4,115,0.0,0.04563465341925621,0.0,,366.288
constrained,4,120,0.0,0.034384649246931076,0.0,,368.374
constrained,4,125,0.0,0.0402953214943409,0.0,,369.579
constrained,4,130,0.0,0.04384498670697212,0.0,,371.667
constrained,4,135,0.0,0.027776487171649933,0.0,,372.872
constrained,4,140,0.0,0.041271574795246124,0.0,,374.957
constrained,4,145,0.0,0.03174503892660141,0.0,,376.162
constrained,5,0,0.0,0.1822132859379053,0.0,,436.629
constrained,5,5,0.0,0.18093368038535118,0.0,,437.836
constrained,5,10,0.0,0.19394546560943127,0.0,,440.108
constrained,5,15,0.0,0.1767520308494568,0.0,,441.318
constrained,5,20,0.0,0.17591606825590134,0.0,,443.528
constrained,5,25,0.0,0.18564708158373833,0.0,,444.736
constrained,5,30,0.0,0.1501537524163723,0.0,,446.944
constrained,5,35,0.0,0.1736236959695816,0.0,,448.155
constrained,5,40,0.0,0.1614559143781662,0.0,,450.359
constrained,5,45,0.0,0.16361048445105553,0.0,,451.568
constrained,5,50,0.0,0.16902040131390095,0.0,,454.257
constrained,5,55,0.0,0.16729220747947693,0.0,,455.469
constrained,5,60,0.0,0.16037914156913757,0.0,,457.674
constrained,5,65,0.0,0.17585493065416813,0.0,,458.882
constrained,5,70,0.0,0.1651660967618227,0.0,,461.101
constrained,5,75,0.0,0.15815562196075916,0.0,,462.31
constrained,5,80,0.0,0.1609598658978939,0.0,,464.579
constrained,5,85,0.0,0.17077725380659103,0.0,,465.788
constrained,5,90,0.0,0.14139199629426003,0.0,,468.058
constrained,5,95,0.0,0.14714469388127327,0.0,,469.27
constrained,5,100,0.0,0.16619249619543552,0.0,,472.075
constrained,5,105,0.0,0.17355824075639248,0.0,,473.287
constrained,5,110,0.0,0.15805375762283802,0.0,,475.556
constrained,5,115,0.0,0.1758616305887699,0.0,,476.768
constrained,5,120,0.0,0.17271738685667515,0.0,,479.039
constrained,5,125,0.0,0.13934649154543877,0.0,,480.251
constrained,5,130,0.0,0.16418483667075634,0.0,,482.522
constrained,5,135,0.0,0.1662970893085003,0.0,,483.734
constrained,5,140,0.0,0.16319751925766468,0.0,,486.003
constrained,5,145,0.0,0.16240091808140278,0.0,,487.213
constrained,6,0,0.0,0.19079865887761116,0.0,,552.763
constrained,6,5,0.0,0.1807745397090912,0.0,,553.975
constrained,6,10,0.0006785144805508881,0.20557654276490211,0.00027897332225515,,556.426
constrained,6,15,0.0013261707805318351,0.20532621443271637,0.0005445952521157648,,557.638
constrained,6,20,0.0,0.18788113072514534,0.0,,560.082
constrained,6,25,0.0009298887000165491,0.20760450139641762,0.00038609815984219723,,561.293
constrained,6,30,0.0021367065859243333,0.20981593430042267,0.0008966301773031607,,563.732
constrained,6,35,0.002507805126904685,0.20306894183158875,0.0010185146668807352,,564.946
constrained,6,40,0.0025130935951067205,0.20004406571388245,0.0010054589205693318,,567.395
constrained,6,45,0.00049756308356203,0.1824323572218418,0.0001815432124015788,,568.606
constrained,6,50,0.0015010603438758753,0.20819459855556488,0.000625025311401832,,571.693
constrained,6,55,0.0010508955070444841,0.1962127685546875,0.0004123982337977607,,572.906
constrained,6,60,0.00038051322511266264,0.19433319941163063,0.00014789270490916354,,575.356
constrained,6,65,0.0,0.18846697732806206,0.0,,576.568
constrained,6,70,0.0,0.18573705479502678,0.0,,579.019
constrained,6,75,0.0,0.1882821023464203,0.0,,580.233
constrained,6,80,0.0009774627368555327,0.20798607915639877,0.00040659728432013,,582.619
constrained,6,85,0.0006829929553733836,0.1975308433175087,0.00026982434890964407,,583.83
constrained,6,90,0.0017914554628607007,0.20903319120407104,0.0007489473046034769,,586.282
constrained,6,95,0.0028601111812715536,0.2087155617773533,0.0011938994238895636,,587.492
constrained,6,100,0.0020879777736726177,0.19345857948064804,0.0008078744281637413,,590.507
constrained,6,105,0.0026288188026166604,0.204457338899374,0.0010749625936632822,,591.72
constrained,6,110,0.0015170957144151423,0.19051051512360573,0.0005780453720900868,,594.172
constrained,6,115,0.0006710559818353131,0.19282081723213196,0.00025878712565199154,,595.383
constrained,6,120,0.0011945603983408003,0.20431596785783768,0.00048813552790328944,,597.775
constrained,6,125,0.0007628992057252097,0.19636987894773483,0.000299620849355165,,598.985
constrained,6,130,0.0,0.1900305561721325,0.0,,601.422
constrained,6,135,0.0,0.17409175261855125,0.0,,602.629
constrained,6,140,0.0,0.18468575552105904,0.0,,605.043
constrained,6,145,0.0,0.18907300755381584,0.0,,606.255
constrained,7,0,0.0,0.06831003352999687,0.0,,650.461
constrained,7,5,0.0,0.05866475775837898,0.0,,651.675
constrained,7,10,0.0,0.07498783618211746,0.0,,654.308
constrained,7,15,0.0,0.058333322405815125,0.0,,655.522
constrained,7,20,0.0,0.061251282691955566,0.0,,658.155
constrained,7,25,0.0,0.0796537734568119,0.0,,659.369
constrained,7,30,0.0,0.07167436555027962,0.0,,662.004
constrained,7,35,0.0,0.07324984669685364,0.0,,663.218
constrained,7,40,0.0,0.046546194702386856,0.0,,665.85
constrained,7,45,0.0,0.05149887874722481,0.0,,667.065
constrained,7,50,0.0,0.06147154048085213,0.0,,670.423
constrained,7,55,0.0,0.056700579822063446,0.0,,671.638
constrained,7,60,0.0,0.07464602589607239,0.0,,674.275
constrained,7,65,0.0,0.06783825904130936,0.0,,675.49
constrained,7,70,0.0,0.07521971687674522,0.0,,678.122
constrained,7,75,0.0,0.06362948194146156,0.0,,679.337
constrained,7,80,0.0,0.05792149901390076,0.0,,681.972
constrained,7,85,0.0,0.059779901057481766,0.0,,683.185
constrained,7,90,0.0,0.058649539947509766,0.0,,685.821
