method,task,task_name,phase,iter,frames_total,raw,normalized
constrained,0,"biggrid50-goal(40,31)",task1,10,10240,0.8285714387893677,0.47114389895427455
constrained,0,"biggrid50-goal(40,31)",task1,20,20480,0.8285714387893677,0.47114389895427455
constrained,0,"biggrid50-goal(40,31)",task1,30,30720,0.8285714387893677,0.47114389895427455
constrained,0,"biggrid50-goal(40,31)",task1,40,40960,0.8285714387893677,0.47114389895427455
constrained,0,"biggrid50-goal(40,31)",task1,50,51200,0.8285714387893677,0.47114389895427455
constrained,0,"biggrid50-goal(40,31)",task1,60,61440,0.8346937894821167,0.4900313147602297
constrained,0,"biggrid50-goal(40,31)",task1,70,71680,0.8306121826171875,0.47743958163627437
constrained,0,"biggrid50-goal(40,31)",task1,80,81920,0.8499999046325684,0.537250589795029
constrained,0,"biggrid50-goal(40,31)",task1,90,92160,0.9275509119033813,0.7764949901900032
constrained,0,"biggrid50-goal(40,31)",task1,100,102400,0.8397958874702454,0.5057712569851407
constrained,0,"biggrid50-goal(40,31)",task1,110,112640,0.8448978662490845,0.5215108314500959
constrained,0,"biggrid50-goal(40,31)",task1,120,122880,0.8908162117004395,0.6631686565544938
constrained,0,"biggrid50-goal(40,31)",task1,130,133120,0.8857141733169556,0.6474288982095606
constrained,0,"biggrid50-goal(40,31)",task1,140,143360,0.8908162117004395,0.6631686565544938
constrained,0,"biggrid50-goal(40,31)",task1,150,153600,0.8571427464485168,0.5592862147019397
constrained,0,"biggrid50-goal(40,31)",task1,160,163840,0.9857140779495239,0.9559280146662671
constrained,0,"biggrid50-goal(40,31)",task1,170,174080,0.9653059840202332,0.8929691651665125
constrained,0,"biggrid50-goal(40,31)",task1,180,184320,0.911224365234375,0.7261276899342262
constrained,0,"biggrid50-goal(40,31)",task1,190,194560,0.946938693523407,0.8363061822287357
constrained,0,"biggrid50-goal(40,31)",task1,200,204800,0.9897958040237427,0.9685201155501781
constrained,0,"biggrid50-goal(40,31)",task1,210,215040,0.9367345571517944,0.8048264816588916
constrained,0,"biggrid50-goal(40,31)",task1,220,225280,0.9602039456367493,0.8772294068215795
constrained,0,"biggrid50-goal(40,31)",task1,230,235520,0.8091837167739868,0.41133289079551993
constrained,0,"biggrid50-goal(40,31)",task1,240,245760,0.8999999165534973,0.69150033190336
constrained,0,"biggrid50-goal(40,31)",task1,250,256000,0.8642856478691101,0.5813220234888283
constrained,1,"biggrid50-goal(9,31)",local,10,266240,0.8520407676696777,0.3776822452680196
constrained,1,"biggrid50-goal(9,31)",local,20,276480,0.896938681602478,0.566523242553215
constrained,1,"biggrid50-goal(9,31)",local,30,286720,0.9142856597900391,0.6394847762611406
constrained,1,"biggrid50-goal(9,31)",local,40,296960,0.9040815234184265,0.5965660942989103
constrained,1,"biggrid50-goal(9,31)",local,50,307200,0.9091835021972656,0.6180250592335822
constrained,1,"biggrid50-goal(9,31)",local,60,317440,0.9173468351364136,0.6523601050824182
constrained,1,"biggrid50-goal(9,31)",local,70,327680,0.8928570747375488,0.5493559703264259
constrained,1,"biggrid50-goal(9,31)",local,80,337920,0.9051018953323364,0.6008577870067932
constrained,1,"biggrid50-goal(9,31)",local,90,348160,0.896938681602478,0.566523242553215
constrained,1,"biggrid50-goal(9,31)",local,100,358400,0.901020348072052,0.5836907654776329
constrained,1,"biggrid50-goal(9,31)",local,110,368640,0.9224489331245422,0.6738195714123477
constrained,1,"biggrid50-goal(9,31)",local,120,378880,0.8806121945381165,0.49785390294842974
constrained,1,"biggrid50-goal(9,31)",local,130,389120,0.9244896769523621,0.6824029568281135
constrained,1,"biggrid50-goal(9,31)",local,140,399360,0.901020348072052,0.5836907654776329
constrained,1,"biggrid50-goal(9,31)",local,150,409600,0.8938775062561035,0.5536479137319376
constrained,2,"biggrid50-goal(15,31)",local,10,573440,0.8030611872673035,0.020304439086830994
constrained,2,"biggrid50-goal(15,31)",local,20,583680,0.7795917987823486,-0.09644682693844414
constrained,2,"biggrid50-goal(15,31)",local,30,593920,0.8357142210006714,0.18274084131267526
constrained,2,"biggrid50-goal(15,31)",local,40,604160,0.9459182620048523,0.7309639582714985
constrained,2,"biggrid50-goal(15,31)",local,50,614400,0.8887755274772644,0.44670062501426955
constrained,2,"biggrid50-goal(15,31)",local,60,624640,0.8602040410041809,0.30456836536485754
constrained,2,"biggrid50-goal(15,31)",local,70,634880,0.8846938014030457,0.42639559290664103
constrained,2,"biggrid50-goal(15,31)",local,80,645120,0.847959041595459,0.24365415857316824
constrained,2,"biggrid50-goal(15,31)",local,90,655360,0.9632652997970581,0.817258862176926
constrained,2,"biggrid50-goal(15,31)",local,100,665600,0.8846938014030457,0.42639559290664103
constrained,2,"biggrid50-goal(15,31)",local,110,675840,0.8979591131210327,0.4923854647044399
constrained,2,"biggrid50-goal(15,31)",local,120,686080,0.9112244844436646,0.5583756330126376
constrained,2,"biggrid50-goal(15,31)",local,130,696320,0.8653060793876648,0.3299490624785957
constrained,2,"biggrid50-goal(15,31)",local,140,706560,0.8387754559516907,0.19796931888299787
constrained,2,"biggrid50-goal(15,31)",local,150,716800,0.8775509595870972,0.3908626762494874
constrained,3,"biggrid50-goal(9,24)",local,10,880640,0.7887754440307617,0.0416667906129989
constrained,3,"biggrid50-goal(9,24)",local,20,890880,0.8571428060531616,0.3518519069391106
constrained,3,"biggrid50-goal(9,24)",local,30,901120,0.8928569555282593,0.5138882541334299
constrained,3,"biggrid50-goal(9,24)",local,40,911360,0.9316326379776001,0.6898148836738883
constrained,3,"biggrid50-goal(9,24)",local,50,921600,0.9255101084709167,0.6620367528368611
constrained,3,"biggrid50-goal(9,24)",local,60,931840,0.9102039337158203,0.5925921018151963
constrained,3,"biggrid50-goal(9,24)",local,70,942080,0.9030610918998718,0.5601847782906602
constrained,3,"biggrid50-goal(9,24)",local,80,952320,0.8806120753288269,0.4583328037444593
constrained,3,"biggrid50-goal(9,24)",local,90,962560,0.8806121945381165,0.4583333446011817
constrained,3,"biggrid50-goal(9,24)",local,100,972800,0.8602040410041809,0.3657408371434436
constrained,3,"biggrid50-goal(9,24)",local,110,983040,0.8428570628166199,0.2870369894616772
constrained,3,"biggrid50-goal(9,24)",local,120,993280,0.823469340801239,0.19907421554817045
constrained,3,"biggrid50-goal(9,24)",local,130,1003520,0.8020407557487488,0.10185197454620093
constrained,3,"biggrid50-goal(9,24)",local,140,1013760,0.8061224222183228,0.1203706382947653
constrained,3,"biggrid50-goal(9,24)",local,150,1024000,0.8397957682609558,0.273147788828983
constrained,3,"biggrid50-goal(9,24)",local,160,1034240,0.8632652163505554,0.37962949691941533
constrained,3,"biggrid50-goal(9,24)",local,170,1044480,0.8295917510986328,0.22685180552847517
constrained,3,"biggrid50-goal(9,24)",local,180,1054720,0.9295916557312012,0.680554875728703
constrained,3,"biggrid50-goal(9,24)",local,190,1064960,0.9224489331245422,0.6481480930608894
constrained,3,"biggrid50-goal(9,24)",local,200,1075200,0.9306122064590454,0.6851851501296569
constrained,3,"biggrid50-goal(9,24)",local,210,1085440,0.9357142448425293,0.7083332769940914
constrained,3,"biggrid50-goal(9,24)",local,220,1095680,0.9244896769523621,0.6574070192926297
constrained,3,"biggrid50-goal(9,24)",local,230,1105920,0.9622446894645691,0.8287028335754117
constrained,3,"biggrid50-goal(9,24)",local,240,1116160,0.9265304803848267,0.6666662159527312
constrained,3,"biggrid50-goal(9,24)",local,250,1126400,0.9459182620048523,0.7546292602945992
constrained,4,"biggrid50-goal(21,17)",local,10,1290240,0.7897958755493164,0.24908867918100364
constrained,4,"biggrid50-goal(21,17)",local,20,1300480,0.7887755036354065,0.24544360883044322
constrained,4,"biggrid50-goal(21,17)",local,30,1310720,0.7704080939292908,0.17982978741525568
constrained,4,"biggrid50-goal(21,17)",local,40,1320960,0.7806121706962585,0.21628176847340988
constrained,4,"biggrid50-goal(21,17)",local,50,1331200,0.8224489092826843,0.36573497598201204
constrained,4,"biggrid50-goal(21,17)",local,60,1341440,0.7938774824142456,0.2636693864340953
constrained,4,"biggrid50-goal(21,17)",local,70,1351680,0.8438774943351746,0.44228422137430584
constrained,4,"biggrid50-goal(21,17)",local,80,1361920,0.827551007270813,0.38396117943651414
constrained,4,"biggrid50-goal(21,17)",local,90,1372160,0.8132652044296265,0.33292806527441826
constrained,4,"biggrid50-goal(21,17)",local,100,1382400,0.7959182858467102,0.27095974006064116
constrained,4,"biggrid50-goal(21,17)",local,110,1392640,0.8295917510986328,0.391251320137635
constrained,4,"biggrid50-goal(21,17)",local,120,1402880,0.8265305757522583,0.38031589616052874
constrained,4,"biggrid50-goal(21,17)",local,130,1413120,0.827551007270813,0.38396117943651414
constrained,4,"biggrid50-goal(21,17)",local,140,1423360,0.8030611872673035,0.2964762971416891
constrained,4,"biggrid50-goal(21,17)",local,150,1433600,0.8193877339363098,0.3547995520049058
constrained,4,"biggrid50-goal(21,17)",local,160,1443840,0.8561223745346069,0.4860265560590059
constrained,4,"biggrid50-goal(21,17)",local,170,1454080,0.8183673024177551,0.35115426872892036
constrained,4,"biggrid50-goal(21,17)",local,180,1464320,0.8122447729110718,0.32928278199843286
constrained,4,"biggrid50-goal(21,17)",local,190,1474560,0.7887755036354065,0.24544360883044322
constrained,4,"biggrid50-goal(21,17)",local,200,1484800,0.7938774824142456,0.2636693864340953
constrained,4,"biggrid50-goal(21,17)",local,210,1495040,0.7908163070678711,0.2527339624569891
constrained,4,"biggrid50-goal(21,17)",local,220,1505280,0.7816326022148132,0.21992705174939528
constrained,4,"biggrid50-goal(21,17)",local,230,1515520,0.8020407557487488,0.29283101386570365
constrained,4,"biggrid50-goal(21,17)",local,240,1525760,0.8020407557487488,0.29283101386570365
constrained,4,"biggrid50-goal(21,17)",local,250,1536000,0.7795918583869934,0.21263691104827445
constrained,5,"biggrid50-goal(27,3)",local,10,1699840,0.7438775300979614,0.216441121878431
constrained,5,"biggrid50-goal(27,3)",local,20,1710080,0.7734693288803101,0.3069717054088991
constrained,5,"biggrid50-goal(27,3)",local,30,1720320,0.7908162474632263,0.36004136411121773
constrained,5,"biggrid50-goal(27,3)",local,40,1730560,0.7948979139328003,0.3725284606201225
constrained,5,"biggrid50-goal(27,3)",local,50,1740800,0.8193876147270203,0.44745012792713906
constrained,5,"biggrid50-goal(27,3)",local,60,1751040,0.7999999523162842,0.3881371944942916
constrained,5,"biggrid50-goal(27,3)",local,70,1761280,0.8030611276626587,0.39750228893936723
constrained,5,"biggrid50-goal(27,3)",local,80,1771520,0.8142856359481812,0.4318415764022523
constrained,5,"biggrid50-goal(27,3)",local,90,1781760,0.8102039098739624,0.41935429754406517
constrained,5,"biggrid50-goal(27,3)",local,100,1792000,0.8030611276626587,0.39750228893936723
constrained,5,"biggrid50-goal(27,3)",local,110,1802240,0.8030611276626587,0.39750228893936723
constrained,5,"biggrid50-goal(27,3)",local,120,1812480,0.7989795804023743,0.38501555712902724
constrained,5,"biggrid50-goal(27,3)",local,130,1822720,0.7999999523162842,0.3881371944942916
