method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
constrained,0,"biggrid50-goal(40,31)",task1,250,256000,36.2,39.244,256000
constrained,1,"biggrid50-goal(9,31)",local,150,153600,23.4,63.027,409600
constrained,1,"biggrid50-goal(9,31)",global,150,153600,42.1,105.411,563200
constrained,2,"biggrid50-goal(15,31)",local,150,153600,26.2,131.926,716800
constrained,2,"biggrid50-goal(15,31)",global,150,153600,45.2,177.416,870400
constrained,3,"biggrid50-goal(9,24)",local,250,256000,48.2,226.113,1126400
constrained,3,"biggrid50-goal(9,24)",global,150,153600,48.1,274.549,1280000
constrained,4,"biggrid50-goal(21,17)",local,250,256000,52.1,327.417,1536000
constrained,4,"biggrid50-goal(21,17)",global,150,153600,50.7,378.42,1689600
constrained,5,"biggrid50-goal(27,3)",local,250,256000,56.7,436.054,1945600
constrained,5,"biggrid50-goal(27,3)",global,150,153600,53.4,489.746,2099200
constrained,6,"biggrid50-goal(3,31)",local,250,256000,61.3,552.14,2355200
constrained,6,"biggrid50-goal(3,31)",global,150,153600,56.6,609.063,2508800
constrained,7,"biggrid50-goal(33,10)",local,150,153600,39.5,649.848,2662400
constrained,7,"biggrid50-goal(33,10)",global,150,153600,59.9,710.074,2816000
constrained,8,"biggrid50-goal(27,45)",local,250,256000,69.9,781.392,3072000
constrained,8,"biggrid50-goal(27,45)",global,150,153600,62.5,844.203,3225600
constrained,9,"biggrid50-goal(21,45)",local,250,256000,74.4,920.252,3481600
constrained,9,"biggrid50-goal(21,45)",global,150,153600,65.5,986.076,3635200
constrained,10,"biggrid50-goal(33,3)",local,150,153600,47.5,1035.319,3788800
constrained,10,"biggrid50-goal(33,3)",global,150,153600,68.5,1104.161,3942400
constrained,11,"biggrid50-goal(21,24)",local,150,153600,50.2,1156.309,4096000
constrained,11,"biggrid50-goal(21,24)",global,150,153600,71.3,1227.95,4249600
constrained,12,"biggrid50-goal(21,3)",local,150,153600,51.9,1281.962,4403200
constrained,12,"biggrid50-goal(21,3)",global,150,153600,74.0,1356.297,4556800
constrained,13,"biggrid50-goal(3,17)",local,150,153600,55.3,1413.95,4710400
constrained,13,"biggrid50-goal(3,17)",global,150,153600,76.4,1490.66,4864000
constrained,14,"biggrid50-goal(15,45)",local,150,153600,57.3,1550.417,5017600
constrained,14,"biggrid50-goal(15,45)",global,150,153600,80.1,1630.864,5171200
constrained,15,"biggrid50-goal(3,24)",local,250,256000,101.6,1735.129,5427200
constrained,15,"biggrid50-goal(3,24)",global,150,153600,83.6,1819.097,5580800
constrained,16,"biggrid50-goal(3,10)",local,250,256000,105.7,1927.641,5836800
constrained,16,"biggrid50-goal(3,10)",global,150,153600,86.0,2014.005,5990400
constrained,17,"biggrid50-goal(46,31)",local,150,153600,66.1,2083.171,6144000
constrained,17,"biggrid50-goal(46,31)",global,150,153600,88.7,2172.274,6297600
constrained,18,"biggrid50-goal(46,24)",local,150,153600,68.1,2243.588,6451200
constrained,18,"biggrid50-goal(46,24)",global,150,153600,91.5,2335.442,6604800
constrained,19,"biggrid50-goal(3,45)",local,200,204800,93.7,2432.401,6809600
constrained,19,"biggrid50-goal(3,45)",global,250,256000,158.0,2590.804,7065600
constrained,20,"biggrid50-goal(21,10)",local,250,256000,123.1,2717.52,7321600
constrained,20,"biggrid50-goal(21,10)",global,150,153600,97.7,2815.609,7475200
constrained,21,"biggrid50-goal(40,3)",local,150,153600,76.6,2895.972,7628800
constrained,21,"biggrid50-goal(40,3)",global,150,153600,100.6,2996.991,7782400
constrained,22,"biggrid50-goal(15,38)",local,150,153600,78.9,3079.817,7936000
constrained,22,"biggrid50-goal(15,38)",global,150,153600,103.6,3183.818,8089600
constrained,23,"biggrid50-goal(40,45)",local,250,256000,136.9,3324.802,8345600
constrained,23,"biggrid50-goal(40,45)",global,150,153600,106.8,3432.009,8499200
constrained,24,"biggrid50-goal(15,17)",local,150,153600,83.6,3519.929,8652800
constrained,24,"biggrid50-goal(15,17)",global,150,153600,109.1,3629.394,8806400
constrained,25,"biggrid50-goal(15,24)",local,150,153600,87.1,3720.937,8960000
constrained,25,"biggrid50-goal(15,24)",global,150,153600,112.1,3833.413,9113600
constrained,26,"biggrid50-goal(21,38)",local,150,153600,89.2,3927.22,9267200
constrained,26,"biggrid50-goal(21,38)",global,150,153600,113.8,4041.428,9420800
constrained,27,"biggrid50-goal(33,17)",local,150,153600,91.1,4137.232,9574400
constrained,27,"biggrid50-goal(33,17)",global,150,153600,118.2,4255.863,9728000
constrained,28,"biggrid50-goal(27,17)",local,250,256000,157.3,4418.121,9984000
constrained,28,"biggrid50-goal(27,17)",global,150,153600,120.4,4538.931,10137600
constrained,29,"biggrid50-goal(3,3)",local,250,256000,162.8,4706.885,10393600
constrained,29,"biggrid50-goal(3,3)",global,150,153600,123.9,4831.22,10547200
constrained,30,"biggrid50-goal(9,10)",local,150,153600,100.6,4937.127,10700800
constrained,30,"biggrid50-goal(9,10)",global,150,153600,126.3,5063.824,10854400
constrained,31,"biggrid50-goal(46,17)",local,150,153600,101.7,5170.944,11008000
constrained,31,"biggrid50-goal(46,17)",global,150,153600,129.8,5301.188,11161600
constrained,32,"biggrid50-goal(40,10)",local,250,256000,175.4,5482.232,11417600
constrained,32,"biggrid50-goal(40,10)",global,150,153600,132.5,5615.123,11571200
constrained,33,"biggrid50-goal(46,38)",local,250,256000,180.7,5801.662,11827200
constrained,33,"biggrid50-goal(46,38)",global,150,153600,135.0,5937.041,11980800
constrained,34,"biggrid50-goal(27,31)",local,150,153600,110.3,6053.352,12134400
constrained,34,"biggrid50-goal(27,31)",global,150,153600,138.3,6192.036,12288000
constrained,35,"biggrid50-goal(21,31)",local,150,153600,113.9,6312.158,12441600
constrained,35,"biggrid50-goal(21,31)",global,150,153600,141.7,6454.281,12595200
constrained,36,"biggrid50-goal(46,10)",local,250,256000,194.3,6655.029,12851200
constrained,36,"biggrid50-goal(46,10)",global,150,153600,144.3,6799.759,13004800
constrained,37,"biggrid50-goal(9,17)",local,150,153600,119.1,6925.466,13158400
constrained,37,"biggrid50-goal(9,17)",global,150,153600,147.3,7073.333,13312000
constrained,38,"biggrid50-goal(33,24)",local,150,153600,121.9,7202.016,13465600
constrained,38,"biggrid50-goal(33,24)",global,150,153600,149.2,7351.663,13619200
constrained,39,"biggrid50-goal(40,17)",local,250,256000,205.4,7563.891,13875200
constrained,39,"biggrid50-goal(40,17)",global,150,153600,152.8,7717.104,14028800
constrained,40,"biggrid50-goal(40,38)",local,250,256000,210.8,7935.04,14284800
constrained,40,"biggrid50-goal(40,38)",global,150,153600,155.6,8091.125,14438400
constrained,41,"biggrid50-goal(33,38)",local,250,256000,214.1,8312.428,14694400
constrained,41,"biggrid50-goal(33,38)",global,150,153600,158.7,8471.54,14848000
constrained,42,"biggrid50-goal(9,45)",local,250,256000,219.5,8698.482,15104000
constrained,42,"biggrid50-goal(9,45)",global,250,256000,275.0,8973.986,15360000
constrained,43,"biggrid50-goal(9,38)",local,150,153600,136.1,9117.728,15513600
constrained,43,"biggrid50-goal(9,38)",global,150,153600,167.2,9285.401,15667200
constrained,44,"biggrid50-goal(9,3)",local,250,256000,231.2,9524.425,15923200
constrained,44,"biggrid50-goal(9,3)",global,150,153600,169.2,9694.039,16076800
constrained,45,"biggrid50-goal(40,24)",local,150,153600,141.4,9843.423,16230400
