iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
70,581632,145408,599,232.3,5.16,,-0.0312,0.0285,2.5114,0.01229,0.4449
71,589824,147456,600,235.1,5.21,,-0.0355,0.0191,2.5295,0.0129,0.4418
72,598016,149504,606,238.0,5.29,,-0.03,0.025,2.5536,0.01094,0.4196
73,606208,151552,613,240.8,5.55,,-0.0322,0.0213,2.5321,0.01338,0.4352
74,614400,153600,615,243.6,5.52,,-0.0317,0.0192,2.5377,0.01231,0.4353
75,622592,155648,621,246.4,5.81,,-0.0332,0.0238,2.5734,0.01028,0.4241
76,630784,157696,630,249.3,6.02,,-0.0321,0.0203,2.5676,0.01014,0.4146
77,638976,159744,634,252.1,6.08,,-0.036,0.0251,2.5573,0.01173,0.4257
78,647168,161792,642,255.0,6.06,,-0.0315,0.0212,2.5799,0.01089,0.4072
79,655360,163840,647,257.9,6.02,,-0.0318,0.0283,2.5429,0.01116,0.4257
80,663552,165888,651,260.7,6.04,,-0.0326,0.0211,2.5445,0.01061,0.395
81,671744,167936,655,263.5,6.02,,-0.0315,0.0184,2.5224,0.01226,0.4364
82,679936,169984,662,266.3,6.24,,-0.0354,0.0252,2.5241,0.01245,0.433
83,688128,172032,664,269.1,6.42,,-0.0322,0.0199,2.5203,0.01391,0.467
84,696320,174080,668,272.0,6.44,,-0.033,0.0239,2.4907,0.01343,0.4636
85,704512,176128,673,274.8,6.62,,-0.0293,0.0263,2.4797,0.01494,0.478
86,712704,178176,681,277.7,6.88,,-0.0348,0.0231,2.4754,0.01268,0.4337
87,720896,180224,684,280.5,6.82,,-0.0351,0.0222,2.4997,0.01327,0.4321
88,729088,182272,691,283.3,6.83,,-0.033,0.025,2.4361,0.01403,0.4609
89,737280,184320,694,286.2,6.94,,-0.0357,0.0201,2.4747,0.01411,0.4503
90,745472,186368,700,289.0,7.02,,-0.0334,0.0214,2.4665,0.01282,0.4155
91,753664,188416,703,291.8,7.1,,-0.0341,0.0203,2.43,0.01369,0.4565
92,761856,190464,709,294.7,7.07,,-0.0319,0.0225,2.403,0.01498,0.4556
93,770048,192512,715,297.5,7.23,,-0.0321,0.0192,2.403,0.01541,0.4552
94,778240,194560,719,300.3,7.16,,-0.0303,0.0229,2.4147,0.01488,0.4414
95,786432,196608,726,303.2,7.13,,-0.0284,0.0196,2.3956,0.01309,0.4308
96,794624,198656,730,306.0,7.1,,-0.033,0.021,2.3725,0.01371,0.4351
97,802816,200704,735,308.8,7.2,,-0.0339,0.0189,2.3595,0.01525,0.454
98,811008,202752,741,311.7,7.34,,-0.0315,0.0204,2.3596,0.01691,0.4749
99,819200,204800,744,314.5,7.42,,-0.0348,0.0169,2.3415,0.01477,0.4448
100,827392,206848,747,373.9,7.55,11.3100004196167,-0.0344,0.021,2.3664,0.0152,0.4452
101,835584,208896,754,376.7,7.75,,-0.0337,0.0212,2.3526,0.01498,0.4521
102,843776,210944,757,379.5,7.91,,-0.0323,0.0181,2.3785,0.01583,0.4489
103,851968,212992,759,382.3,7.97,,-0.0325,0.0215,2.3765,0.01541,0.4545
104,860160,215040,766,385.2,7.87,,-0.0332,0.0239,2.3461,0.01724,0.4753
105,868352,217088,770,388.0,8.05,,-0.0323,0.0207,2.3337,0.01785,0.4812
106,876544,219136,772,390.8,8.01,,-0.0323,0.0187,2.3394,0.01632,0.4677
107,884736,221184,780,393.7,7.94,,-0.0341,0.0249,2.357,0.01735,0.4768
108,892928,223232,784,396.5,8.06,,-0.0339,0.0162,2.3617,0.01613,0.4564
109,901120,225280,785,399.3,8.01,,-0.0307,0.0164,2.3495,0.01692,0.4784
110,909312,227328,791,402.1,8.21,,-0.0342,0.019,2.3688,0.01677,0.4672
111,917504,229376,797,405.0,8.3,,-0.0317,0.0202,2.3342,0.01676,0.4601
112,925696,231424,799,407.8,8.45,,-0.0342,0.0206,2.3409,0.01818,0.4725
113,933888,233472,803,410.6,8.53,,-0.0332,0.0213,2.3356,0.01577,0.455
114,942080,235520,808,413.4,8.72,,-0.0338,0.0193,2.3039,0.01521,0.458
115,950272,237568,810,416.2,8.8,,-0.0294,0.0189,2.3034,0.01879,0.4719
116,958464,239616,814,419.1,8.72,,-0.0361,0.0207,2.3166,0.01735,0.4796
117,966656,241664,821,421.9,9.03,,-0.0346,0.0243,2.3441,0.01826,0.4678
118,974848,243712,824,424.7,9.15,,-0.0349,0.0179,2.3551,0.01838,0.473
119,983040,245760,828,427.5,9.15,,-0.0334,0.0235,2.3147,0.01769,0.4659
120,991232,247808,833,430.4,9.3,,-0.0343,0.0226,2.318,0.01933,0.4658
121,999424,249856,837,433.2,9.34,,-0.0321,0.0176,2.3225,0.02156,0.498
122,1007616,251904,841,436.0,9.47,,-0.031,0.0204,2.271,0.01691,0.4651
123,1015808,253952,844,438.8,9.54,,-0.0362,0.0152,2.3303,0.02086,0.4907
124,1024000,256000,848,441.6,9.48,,-0.0325,0.019,2.2804,0.0176,0.4731
125,1032192,258048,855,444.5,9.6,,-0.033,0.0205,2.2348,0.01908,0.4834
126,1040384,260096,858,447.3,9.56,,-0.0357,0.0199,2.2449,0.02029,0.4949
127,1048576,262144,863,450.1,9.64,,-0.0316,0.0225,2.2364,0.0166,0.4635
128,1056768,264192,865,452.9,9.54,,-0.0326,0.0199,2.2547,0.01731,0.4625
129,1064960,266240,869,455.7,9.55,,-0.0324,0.0214,2.2291,0.01694,0.4679
130,1073152,268288,875,458.6,9.71,,-0.0328,0.0241,2.2115,0.01803,0.4583
131,1081344,270336,877,461.4,9.8,,-0.034,0.0259,2.2495,0.01938,0.463
132,1089536,272384,881,464.2,9.94,,-0.0317,0.0225,2.212,0.01795,0.4537
133,1097728,274432,882,467.0,9.94,,-0.0348,0.0192,2.2711,0.01922,0.4706
134,1105920,276480,889,469.9,10.06,,-0.0312,0.0227,2.2786,0.01858,0.4722
135,1114112,278528,893,472.7,10.16,,-0.0317,0.0274,2.2598,0.01952,0.4792
136,1122304,280576,896,475.5,10.06,,-0.0321,0.021,2.2527,0.01984,0.4989
137,1130496,282624,900,478.3,10.09,,-0.0374,0.0202,2.2873,0.02127,0.4755
138,1138688,284672,903,481.1,10.07,,-0.0332,0.0216,2.2759,0.01786,0.4521
139,1146880,286720,907,484.0,10.22,,-0.0331,0.0194,2.3228,0.02105,0.495
140,1155072,288768,910,486.8,10.3,,-0.0342,0.0184,2.2448,0.02061,0.4818
141,1163264,290816,914,489.6,10.45,,-0.0337,0.0203,2.1857,0.02279,0.4917
142,1171456,292864,917,492.4,10.5,,-0.037,0.0215,2.1363,0.02229,0.4778
143,1179648,294912,920,495.2,10.57,,-0.0325,0.022,2.1498,0.01991,0.4622
144,1187840,296960,925,498.0,10.78,,-0.0338,0.0236,2.1424,0.02012,0.4578
145,1196032,299008,927,500.8,10.88,,-0.0329,0.0212,2.1652,0.02044,0.4508
146,1204224,301056,928,503.6,10.84,,-0.0318,0.0231,2.152,0.02002,0.4611
147,1212416,303104,934,506.5,10.94,,-0.0329,0.0263,2.1023,0.02275,0.4688
148,1220608,305152,937,509.3,11.26,,-0.036,0.0206,2.1531,0.02181,0.4927
149,1228800,307200,939,512.1,11.33,,-0.0344,0.0219,2.1415,0.02221,0.4913
150,1236992,309248,942,514.9,11.45,,-0.0331,0.0221,2.1741,0.02084,0.4683
