global_step,episodic_return
0,0.0
464,15.0
472,35.0
488,40.0
520,60.0
544,50.0
600,65.0
680,55.0
704,85.0
872,20.0
912,5.0
936,45.0
952,20.0
960,20.0
1144,65.0
1200,10.0
1232,60.0
1240,30.0
1336,5.0
1384,5.0
1440,10.0
1504,15.0
1584,35.0
1600,40.0
1752,10.0
1768,65.0
1800,15.0
1832,0.0
1904,15.0
1936,30.0
2024,15.0
2088,15.0
2136,25.0
2152,15.0
2272,50.0
2400,30.0
2568,20.0
2752,15.0
2760,15.0
2761,85.0
2776,40.0
2784,130.0
2848,10.0
2944,0.0
3056,360.0
3176,30.0
3240,60.0
3256,10.0
3376,45.0
3408,65.0
3416,45.0
3417,5.0
3504,35.0
3600,55.0
3720,0.0
3784,5.0
3792,20.0
3816,15.0
3848,15.0
3936,45.0
3952,95.0
4072,5.0
4184,30.0
4216,20.0
4232,90.0
4272,15.0
4288,30.0
4400,5.0
4552,45.0
4664,50.0
4736,45.0
4776,5.0
4864,50.0
5016,15.0
5024,50.0
5064,20.0
5088,80.0
5089,55.0
5352,125.0
5552,110.0
5584,20.0
5616,5.0
5632,90.0
5640,45.0
5656,30.0
5672,65.0
5704,65.0
5968,50.0
5969,10.0
5976,5.0
6008,5.0
6152,35.0
6224,5.0
6225,15.0
6432,105.0
6448,50.0
6464,45.0
6520,5.0
6528,30.0
6728,95.0
6784,155.0
6792,15.0
6856,55.0
6864,30.0
6952,25.0
7016,45.0
7017,50.0
7200,10.0
7304,40.0
7360,20.0
7376,15.0
7384,30.0
7464,30.0
7496,45.0
7520,45.0
7616,20.0
7728,30.0
7816,20.0
7904,15.0
8008,30.0
8032,20.0
8056,30.0
8208,30.0
8209,75.0
8232,10.0
8288,180.0
8304,125.0
8456,60.0
8600,20.0
8616,5.0
8632,60.0
8688,35.0
8752,10.0
8768,25.0
8776,25.0
8992,20.0
9008,15.0
9136,10.0
9137,20.0
9200,20.0
9240,65.0
9344,90.0
9432,85.0
9448,55.0
9464,5.0
9592,25.0
9632,70.0
9728,40.0
9760,5.0
9952,5.0
9976,35.0
10016,15.0
10040,15.0
10120,30.0
10216,20.0
10240,65.0
10248,15.0
10320,30.0
10416,45.0
10504,15.0
10528,45.0
10552,35.0
10712,35.0
10736,5.0
10752,60.0
10944,10.0
10960,35.0
11024,365.0
11056,45.0
11200,35.0
11232,50.0
11352,155.0
11360,0.0
11384,55.0
11416,45.0
11520,5.0
11560,45.0
11592,60.0
11600,50.0
11712,35.0
11840,50.0
11848,5.0
11960,5.0
11961,45.0
11984,40.0
12032,30.0
12136,40.0
12160,15.0
12224,10.0
12288,80.0
12352,15.0
12432,20.0
12456,10.0
12480,20.0
12584,25.0
12664,55.0
12928,30.0
12960,5.0
12992,105.0
13024,55.0
13048,410.0
13096,45.0
13144,45.0
13145,50.0
13352,15.0
13360,5.0
13480,45.0
13488,125.0
13528,30.0
13664,65.0
13712,5.0
13864,25.0
13992,90.0
14024,90.0
14080,80.0
14144,30.0
14160,45.0
14328,55.0
14336,175.0
14392,175.0
14408,55.0
14456,85.0
14536,35.0
14648,5.0
14672,35.0
14760,20.0
14768,15.0
14872,5.0
15024,50.0
15112,80.0
15176,60.0
15177,165.0
15178,35.0
15232,100.0
15328,20.0
15376,15.0
15504,170.0
15672,70.0
15720,35.0
15768,95.0
15769,35.0
15824,10.0
15984,80.0
16080,20.0
16216,45.0
16272,105.0
16320,90.0
16448,80.0
16488,375.0
16552,125.0
16616,40.0
16696,30.0
16824,125.0
16904,40.0
16936,80.0
17008,75.0
17009,45.0
17032,30.0
17136,5.0
17216,80.0
17264,35.0
17360,80.0
17472,35.0
17496,35.0
17528,55.0
17616,35.0
17656,20.0
17936,110.0
17960,185.0
17961,50.0
18024,20.0
18056,95.0
18096,90.0
18384,55.0
18392,80.0
18480,110.0
18672,85.0
18720,50.0
18792,30.0
18793,115.0
18808,175.0
18824,50.0
18904,60.0
19000,25.0
19144,35.0
19176,45.0
19224,60.0
19225,60.0
19280,35.0
19336,85.0
19384,50.0
19480,25.0
19504,15.0
19632,55.0
19744,50.0
19832,35.0
19920,55.0
20072,105.0
20088,80.0
20128,135.0
20272,60.0
20296,60.0
20312,85.0
20376,270.0
20544,20.0
20545,75.0
20712,85.0
20864,50.0
20912,125.0
21016,50.0
21040,20.0
21096,15.0
21192,15.0
21240,95.0
21328,60.0
21416,45.0
21424,135.0
21480,165.0
21544,110.0
21560,45.0
21720,55.0
21864,15.0
21952,200.0
21992,95.0
22000,35.0
22032,65.0
22096,15.0
22136,110.0
22280,125.0
22304,50.0
22440,35.0
22456,60.0
22504,35.0
22512,40.0
22568,65.0
22688,55.0
22704,80.0
22752,80.0
22880,15.0
22904,35.0
22936,35.0
23080,100.0
23184,150.0
23208,90.0
23296,45.0
23304,35.0
23432,75.0
23584,105.0
23632,35.0
23648,20.0
23688,40.0
23904,160.0
23944,385.0
23952,35.0
24264,55.0
24376,65.0
24377,60.0
24392,90.0
24400,95.0
24401,60.0
24448,100.0
24600,390.0
24768,65.0
25048,100.0
25128,75.0
25184,120.0
25192,55.0
25312,125.0
25368,75.0
25456,20.0
25552,40.0
25568,45.0
25664,10.0
25688,80.0
25704,265.0
25776,175.0
25960,30.0
25992,75.0
26088,60.0
26112,75.0
26240,80.0
26312,45.0
26512,85.0
26528,130.0
26568,65.0
26736,60.0
26824,450.0
26840,45.0
26928,10.0
27192,215.0
27384,45.0
27424,145.0
27464,60.0
27480,275.0
27632,55.0
27928,65.0
27936,330.0
28008,190.0
28056,55.0
28080,55.0
28200,205.0
28384,230.0
28400,70.0
28512,170.0
28528,55.0
28640,35.0
28696,65.0
28856,20.0
28920,105.0
29104,55.0
29200,405.0
29240,100.0
29288,300.0
29360,120.0
29368,80.0
29369,65.0
29600,30.0
29808,335.0
29848,85.0
29952,25.0
29976,75.0
30000,110.0
30104,125.0
30296,390.0
30336,105.0
30368,40.0
30464,65.0
30544,160.0
30672,115.0
30680,35.0
30744,35.0
30784,80.0
30920,55.0
31040,50.0
31048,55.0
31080,85.0
31136,20.0
31152,125.0
31168,155.0
31440,50.0
31608,115.0
31632,30.0
31640,90.0
31896,185.0
31904,50.0
31976,100.0
32184,45.0
32192,75.0
32208,370.0
32272,45.0
32296,110.0
32328,20.0
32472,65.0
32616,110.0
32816,20.0
32864,45.0
32912,110.0
33088,90.0
33176,65.0
33200,235.0
33328,125.0
33408,275.0
33472,65.0
33600,45.0
33640,120.0
33736,85.0
33760,25.0
33808,60.0
34000,50.0
34016,30.0
34168,35.0
34232,50.0
34304,120.0
34528,60.0
34584,140.0
34592,150.0
34624,80.0
34688,55.0
34760,35.0
34824,35.0
34912,95.0
35008,60.0
35136,75.0
35312,55.0
35360,90.0
35496,75.0
35536,70.0
35608,50.0
35609,170.0
35808,240.0
36048,65.0
36152,245.0
36224,115.0
36256,125.0
36416,240.0
36480,290.0
36592,120.0
36600,115.0
36760,60.0
36768,35.0
36864,45.0
37096,70.0
37168,70.0
37192,195.0
37208,155.0
37280,65.0
37392,45.0
37432,110.0
37552,90.0
37688,80.0
37808,30.0
37809,110.0
37856,105.0
37864,105.0
38032,150.0
38240,65.0
38280,215.0
38288,80.0
38376,25.0
38488,85.0
38632,50.0
38633,175.0
38840,120.0
38936,60.0
39048,115.0
39192,110.0
39312,165.0
39392,140.0
39416,260.0
39464,35.0
39792,45.0
39824,40.0
39880,180.0
39928,110.0
39929,30.0
39976,165.0
40024,215.0
40232,60.0
40328,90.0
40448,50.0
40472,205.0
40520,85.0
40792,140.0
40888,345.0
41008,130.0
41056,120.0
41280,225.0
41288,175.0
41304,105.0
41305,75.0
41552,130.0
41576,25.0
41816,190.0
41848,80.0
41872,145.0
41888,60.0
41936,255.0
42192,160.0
42280,95.0
42584,80.0
42600,210.0
42624,40.0
42752,405.0
42944,125.0
42960,450.0
43048,310.0
43080,225.0
43352,45.0
43448,15.0
43552,60.0
43648,170.0
43656,155.0
43808,125.0
43848,425.0
43992,320.0
44304,25.0
44320,220.0
44576,65.0
44608,315.0
44776,280.0
44777,260.0
44784,165.0
44936,75.0
44952,40.0
45096,135.0
45097,35.0
45192,30.0
45528,170.0
45576,60.0
45648,155.0
45712,190.0
45848,195.0
46048,245.0
46064,35.0
46088,195.0
46184,45.0
46208,160.0
46336,115.0
46448,120.0
46728,80.0
46752,135.0
46880,75.0
46896,50.0
47024,85.0
47312,85.0
47392,340.0
47520,80.0
47624,285.0
47704,220.0
47800,125.0
47808,165.0
48000,60.0
48072,240.0
48073,95.0
48096,175.0
48168,65.0
48440,140.0
48464,105.0
48600,70.0
48784,100.0
48920,110.0
48960,170.0
49072,70.0
49096,165.0
49176,100.0
49264,145.0
49280,75.0
49281,125.0
49624,75.0
49720,55.0
49744,60.0
49784,95.0
49840,90.0
50032,135.0
50080,405.0
50160,355.0
50248,40.0
50536,115.0
50616,175.0
50632,205.0
50984,100.0
51008,125.0
51120,35.0
51128,210.0
51176,200.0
51288,85.0
51312,200.0
51488,135.0
51648,30.0
51816,65.0
52160,430.0
52192,155.0
52240,155.0
52264,290.0
52432,85.0
52576,310.0
52744,165.0
52840,80.0
52936,340.0
52952,125.0
53256,60.0
53320,40.0
53321,155.0
53336,290.0
53376,220.0
53488,110.0
53776,340.0
53832,75.0
54080,80.0
54104,170.0
54216,100.0
54232,115.0
54672,80.0
54752,130.0
54816,405.0
54848,75.0
54928,240.0
55120,95.0
55168,150.0
55216,45.0
55288,55.0
55344,625.0
55568,90.0
55720,75.0
55872,90.0
55960,165.0
56064,290.0
56160,40.0
56488,300.0
56496,220.0
56528,50.0
56592,200.0
56624,280.0
56672,80.0
56856,125.0
56904,65.0
57040,55.0
57088,35.0
57240,100.0
57360,165.0
57392,160.0
57456,185.0
57672,115.0
57928,145.0
58096,110.0
58120,160.0
58152,55.0
58208,195.0
58216,135.0
58392,425.0
58672,85.0
58720,70.0
58768,60.0
58769,20.0
58968,220.0
58976,125.0
59160,45.0
59312,380.0
59408,115.0
59424,305.0
59616,85.0
59624,70.0
59625,35.0
59920,175.0
59984,85.0
60176,280.0
60280,150.0
60296,85.0
60664,80.0
60816,90.0
60888,505.0
60912,275.0
60920,65.0
61072,315.0
61080,180.0
61352,435.0
61408,45.0
61488,60.0
61808,170.0
61928,350.0
61936,45.0
62016,100.0
62032,75.0
62120,260.0
62376,465.0
62456,295.0
62464,120.0
62736,30.0
62864,160.0
62928,30.0
63096,65.0
63248,460.0
63288,285.0
63304,75.0
63376,70.0
63544,275.0
63808,45.0
63816,90.0
64080,220.0
64120,230.0
64160,150.0
64560,340.0
64584,175.0
64704,305.0
64760,20.0
64896,445.0
64976,215.0
65208,505.0
65240,120.0
65376,75.0
65480,105.0
65536,170.0
65560,130.0
65624,100.0
65672,95.0
65912,85.0
66232,190.0
66376,170.0
66464,205.0
66504,110.0
66520,295.0
66544,70.0
66840,130.0
66944,190.0
67288,90.0
67456,270.0
67480,95.0
67536,90.0
67544,215.0
67648,320.0
67792,155.0
67808,235.0
68056,120.0
68248,35.0
68344,30.0
68616,275.0
68640,100.0
68848,240.0
68872,55.0
69056,270.0
69368,540.0
69369,70.0
69488,465.0
69840,135.0
69888,380.0
69936,65.0
70032,710.0
70080,405.0
70184,540.0
70416,45.0
70480,275.0
70536,55.0
70800,570.0
71128,330.0
71184,80.0
71216,95.0
71232,250.0
71536,290.0
71600,195.0
71808,50.0
71832,210.0
71904,455.0
72064,170.0
72288,235.0
72336,290.0
72456,160.0
72457,95.0
72536,255.0
72896,40.0
72992,80.0
73008,255.0
73064,265.0
73088,145.0
73144,155.0
73272,60.0
73560,75.0
73720,220.0
73816,140.0
74016,360.0
74088,140.0
74272,155.0
74416,195.0
74576,225.0
74616,135.0
74776,105.0
74777,105.0
74904,145.0
75224,290.0
75456,520.0
75688,220.0
75720,195.0
75728,300.0
75888,130.0
75896,120.0
76200,115.0
76264,125.0
76336,370.0
76552,100.0
76608,145.0
76800,205.0
76824,65.0
76864,330.0
76904,90.0
77120,230.0
77264,125.0
77592,95.0
77824,210.0
77864,200.0
77888,395.0
78264,200.0
78384,450.0
78632,190.0
78664,430.0
78792,225.0
78856,370.0
78880,190.0
78912,185.0
79304,130.0
79384,240.0
79408,95.0
79640,335.0
79760,140.0
79976,220.0
80024,170.0
80232,105.0
80248,290.0
80448,115.0
80608,230.0
80648,120.0
80672,125.0
80960,190.0
81088,330.0
81304,185.0
81576,135.0
81600,50.0
81616,270.0
81816,130.0
81856,255.0
81920,280.0
82104,315.0
82320,135.0
82448,130.0
82560,145.0
82696,145.0
82768,325.0
82976,230.0
83512,60.0
83552,445.0
83584,315.0
83688,330.0
83776,195.0
83816,280.0
83880,440.0
84280,105.0
84384,105.0
84432,110.0
84440,305.0
84448,155.0
84672,185.0
84776,335.0
84992,345.0
85480,150.0
85592,305.0
85648,270.0
85680,220.0
85768,210.0
85912,305.0
86048,160.0
86360,150.0
86456,345.0
86480,180.0
86648,205.0
86920,315.0
86944,110.0
86968,300.0
87568,190.0
87720,315.0
87824,315.0
87928,250.0
87936,365.0
88080,10.0
88088,255.0
88192,255.0
88216,295.0
88528,50.0
88656,135.0
88752,115.0
88960,305.0
89256,190.0
89296,395.0
89440,110.0
89448,310.0
89560,150.0
89736,265.0
89824,105.0
89856,380.0
90008,100.0
90480,50.0
90560,160.0
90576,125.0
90656,255.0
90696,305.0
91144,200.0
91352,130.0
91416,65.0
91840,465.0
91872,290.0
91880,520.0
92032,540.0
92208,200.0
92248,150.0
92328,650.0
92456,300.0
92744,110.0
92768,80.0
92880,245.0
92984,180.0
93168,60.0
93304,245.0
93344,375.0
93360,80.0
93496,295.0
94096,355.0
94160,65.0
94216,195.0
94240,55.0
94344,260.0
94440,340.0
95008,360.0
95088,110.0
95208,485.0
95296,365.0
95472,255.0
95496,490.0
95528,125.0
95696,415.0
96008,170.0
96176,140.0
96256,75.0
96257,50.0
96408,230.0
96608,225.0
96672,55.0
96848,125.0
96952,360.0
97064,275.0
97128,100.0
97520,210.0
97552,235.0
97712,155.0
98040,295.0
98336,635.0
98368,235.0
98648,195.0
98752,220.0
98816,300.0
98864,340.0
98880,45.0
99016,375.0
99200,120.0
99400,60.0
99448,180.0
99536,445.0
99824,195.0
99976,65.0
99992,300.0
100280,295.0
100368,340.0
100544,30.0
100664,270.0
100856,410.0
101008,95.0
101032,495.0
101056,200.0
101704,290.0
101824,260.0
