iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
70,581632,145408,148,491.9,16.71,,-0.0288,0.0294,2.6839,0.00779,0.348
71,589824,147456,149,497.1,16.75,,-0.028,0.0246,2.6753,0.00707,0.3197
72,598016,149504,151,502.4,16.77,,-0.0293,0.0256,2.6841,0.008,0.3323
73,606208,151552,157,507.7,16.81,,-0.0269,0.0206,2.6787,0.0074,0.332
74,614400,153600,157,512.9,16.81,,-0.028,0.0237,2.6655,0.00701,0.3153
75,622592,155648,160,518.2,16.95,,-0.0249,0.0268,2.6528,0.00668,0.3228
76,630784,157696,163,523.4,16.77,,-0.026,0.0285,2.6454,0.00832,0.3351
77,638976,159744,164,528.7,16.75,,-0.0291,0.0249,2.6566,0.0069,0.3069
78,647168,161792,165,533.9,16.7,,-0.0314,0.0219,2.6311,0.00825,0.3535
79,655360,163840,167,539.2,16.69,,-0.0305,0.0262,2.6019,0.00795,0.3434
80,663552,165888,169,544.5,16.57,,-0.0314,0.024,2.6069,0.00851,0.3524
81,671744,167936,170,549.7,16.72,,-0.0289,0.0233,2.6115,0.00937,0.364
82,679936,169984,172,555.0,16.76,,-0.0299,0.0255,2.6104,0.00924,0.3546
83,688128,172032,177,560.3,16.82,,-0.0297,0.0249,2.6252,0.00886,0.3486
84,696320,174080,179,565.6,16.96,,-0.032,0.0267,2.5958,0.00929,0.359
85,704512,176128,179,570.8,16.96,,-0.0296,0.0276,2.6202,0.00907,0.3717
86,712704,178176,179,576.0,16.96,,-0.027,0.0216,2.6155,0.00883,0.3088
87,720896,180224,184,581.3,16.89,,-0.026,0.0282,2.6091,0.00877,0.3461
88,729088,182272,184,586.6,16.89,,-0.0268,0.0288,2.5796,0.00971,0.3661
89,737280,184320,187,591.8,16.86,,-0.0284,0.0214,2.5801,0.0083,0.3302
90,745472,186368,188,597.1,16.85,,-0.0286,0.0258,2.6138,0.00807,0.3516
91,753664,188416,190,602.3,16.84,,-0.0289,0.0226,2.6052,0.00792,0.3284
92,761856,190464,194,607.6,16.72,,-0.0284,0.0245,2.5949,0.0086,0.3333
93,770048,192512,195,612.9,16.84,,-0.0273,0.0253,2.585,0.00912,0.3657
94,778240,194560,196,618.1,16.94,,-0.0283,0.0256,2.5736,0.01072,0.3965
95,786432,196608,198,623.4,16.97,,-0.0288,0.0252,2.5532,0.00856,0.3457
96,794624,198656,203,628.7,16.79,,-0.0287,0.0227,2.4891,0.01219,0.389
97,802816,200704,204,633.9,16.79,,-0.0291,0.0261,2.5456,0.00877,0.3271
98,811008,202752,207,639.2,16.64,,-0.027,0.0304,2.5107,0.00994,0.3647
99,819200,204800,209,644.4,16.59,,-0.0304,0.0275,2.5619,0.00787,0.3208
100,827392,206848,209,759.8,16.59,248.1999969482422,-0.0274,0.0236,2.5563,0.01013,0.3708
101,835584,208896,211,765.0,16.53,,-0.0304,0.0281,2.5226,0.01042,0.3827
102,843776,210944,212,770.2,16.31,,-0.0329,0.028,2.5253,0.01072,0.3785
103,851968,212992,217,775.5,16.21,,-0.03,0.0226,2.5862,0.00859,0.321
104,860160,215040,217,780.8,16.21,,-0.0289,0.0254,2.5614,0.00896,0.3545
105,868352,217088,221,786.1,16.0,,-0.0326,0.0232,2.5655,0.0105,0.3708
106,876544,219136,223,791.4,16.01,,-0.0348,0.0284,2.5194,0.01137,0.3795
107,884736,221184,225,796.6,16.15,,-0.0289,0.0251,2.4991,0.01168,0.39
108,892928,223232,225,801.9,16.15,,-0.0342,0.0294,2.5115,0.01087,0.3839
109,901120,225280,225,807.1,16.15,,-0.0319,0.0299,2.5047,0.01225,0.382
110,909312,227328,228,812.4,16.13,,-0.0307,0.03,2.5443,0.01242,0.3801
111,917504,229376,228,817.6,16.13,,-0.0332,0.025,2.4907,0.01279,0.4114
112,925696,231424,230,822.8,16.25,,-0.0324,0.0274,2.5331,0.01158,0.3921
