method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
constrained,39,"biggrid50-goal(40,17)",local,150,153600,176.4,11294.651,14592000
constrained,39,"biggrid50-goal(40,17)",global,150,153600,218.9,11514.175,14745600
constrained,40,"biggrid50-goal(40,38)",local,250,256000,302.7,11827.099,15001600
constrained,40,"biggrid50-goal(40,38)",global,150,153600,221.8,12049.486,15155200
constrained,41,"biggrid50-goal(33,38)",local,250,256000,308.4,12368.236,15411200
constrained,41,"biggrid50-goal(33,38)",global,150,153600,226.9,12595.725,15564800
constrained,42,"biggrid50-goal(9,45)",local,250,256000,316.0,12922.445,15820800
constrained,42,"biggrid50-goal(9,45)",global,150,153600,231.1,13154.159,15974400
constrained,43,"biggrid50-goal(9,38)",local,150,153600,192.7,13357.786,16128000
constrained,43,"biggrid50-goal(9,38)",global,150,153600,235.7,13594.141,16281600
