method,task_idx,iter,mu,shortfall_current,coeff_current,grad_share_past,t_wall
constrained,1,0,0.0,0.0838402658700943,0.0,,88.756
constrained,1,5,0.0,0.08289607614278793,0.0,,90.506
constrained,1,10,0.0,0.07581538707017899,0.0,,92.778
constrained,1,15,0.0,0.08702390640974045,0.0,,94.532
constrained,1,20,0.0,0.06925895065069199,0.0,,96.796
constrained,1,25,0.0,0.07559707388281822,0.0,,98.552
constrained,1,30,0.0,0.0797138623893261,0.0,,100.814
constrained,1,35,0.0,0.06380030140280724,0.0,,102.57
constrained,1,40,0.0,0.05357448197901249,0.0,,104.836
constrained,1,45,0.0,0.04754585772752762,0.0,,106.585
constrained,1,50,0.0,0.04861623793840408,0.0,,109.117
constrained,1,55,0.0,0.04791991412639618,0.0,,110.866
constrained,1,60,0.0,0.05105870962142944,0.0,,113.21
constrained,1,65,0.0,0.04891791567206383,0.0,,114.96
constrained,1,70,0.0,0.032568417489528656,0.0,,117.231
constrained,1,75,0.0,0.02992667630314827,0.0,,118.975
constrained,1,80,0.0,0.04479417949914932,0.0,,121.243
constrained,1,85,0.0,0.04803711175918579,0.0,,122.992
constrained,1,90,0.0,0.029080834239721298,0.0,,125.262
constrained,1,95,0.0,0.048946771770715714,0.0,,127.013
constrained,1,100,0.0,0.030049175024032593,0.0,,129.539
constrained,1,105,0.0,0.027925312519073486,0.0,,131.292
constrained,1,110,0.0,0.03316143900156021,0.0,,133.563
constrained,1,115,0.0,0.0343332402408123,0.0,,135.312
constrained,1,120,0.0,0.032505325973033905,0.0,,137.581
constrained,1,125,0.0,0.046192508190870285,0.0,,139.331
constrained,1,130,0.0,0.02852415293455124,0.0,,141.603
constrained,1,135,0.0,0.03317148610949516,0.0,,143.388
constrained,1,140,0.0,0.04790536314249039,0.0,,145.645
constrained,1,145,0.0,0.052257295697927475,0.0,,147.396
constrained,2,0,0.0,0.11673437803983688,0.0,,189.066
constrained,2,5,0.0,0.09986184537410736,0.0,,190.818
constrained,2,10,0.0,0.11542195454239845,0.0,,193.367
constrained,2,15,0.0,0.10518569871783257,0.0,,195.119
constrained,2,20,0.0,0.08484958112239838,0.0,,197.656
constrained,2,25,0.0,0.10065943002700806,0.0,,199.416
constrained,2,30,0.0,0.09564781934022903,0.0,,201.945
constrained,2,35,0.0,0.08993542566895485,0.0,,203.73
constrained,2,40,0.0,0.07405960932374,0.0,,206.269
constrained,2,45,0.0,0.09034309908747673,0.0,,208.023
constrained,2,50,0.0,0.07183900475502014,0.0,,210.946
constrained,2,55,0.0,0.06972401216626167,0.0,,212.696
constrained,2,60,0.0,0.0818878822028637,0.0,,215.228
constrained,2,65,0.0,0.07639161497354507,0.0,,216.982
constrained,2,70,0.0,0.085425466299057,0.0,,219.515
constrained,2,75,0.0,0.07576055824756622,0.0,,221.265
