method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
finetune,9,"biggrid50-goal(21,45)",4,"biggrid50-goal(21,17)",0.7833332419395447,0.22031791585160782
finetune,9,"biggrid50-goal(21,45)",5,"biggrid50-goal(27,3)",0.6948979496955872,-0.10332126068534964
finetune,9,"biggrid50-goal(21,45)",6,"biggrid50-goal(3,31)",0.8741495609283447,0.5893448503954711
finetune,9,"biggrid50-goal(21,45)",7,"biggrid50-goal(33,10)",0.8397958874702454,0.012578535483600769
finetune,9,"biggrid50-goal(21,45)",8,"biggrid50-goal(27,45)",0.6982992887496948,0.155237887654956
finetune,9,"biggrid50-goal(21,45)",9,"biggrid50-goal(21,45)",0.9649658203125,0.8795316092819787
finetune,10,"biggrid50-goal(33,3)",0,"biggrid50-goal(40,31)",0.8088434934616089,0.42358954339711624
finetune,10,"biggrid50-goal(33,3)",1,"biggrid50-goal(9,31)",0.8098639249801636,0.14000003774348932
finetune,10,"biggrid50-goal(33,3)",2,"biggrid50-goal(15,31)",0.7938775420188904,0.1088233717584895
finetune,10,"biggrid50-goal(33,3)",3,"biggrid50-goal(9,24)",0.8588434457778931,0.3048571651654543
finetune,10,"biggrid50-goal(33,3)",4,"biggrid50-goal(21,17)",0.7792516946792603,0.2056303407803974
finetune,10,"biggrid50-goal(33,3)",5,"biggrid50-goal(27,3)",0.7772107720375061,0.1943413962068046
finetune,10,"biggrid50-goal(33,3)",6,"biggrid50-goal(3,31)",0.8125849366188049,0.3884569536771609
finetune,10,"biggrid50-goal(33,3)",7,"biggrid50-goal(33,10)",0.9472788572311401,0.6750521120727343
finetune,10,"biggrid50-goal(33,3)",8,"biggrid50-goal(27,45)",0.6605441570281982,0.04952350371220165
finetune,10,"biggrid50-goal(33,3)",9,"biggrid50-goal(21,45)",0.7904761433601379,0.2795321011770845
finetune,10,"biggrid50-goal(33,3)",10,"biggrid50-goal(33,3)",0.9489794373512268,0.6815278780257312
finetune,11,"biggrid50-goal(21,24)",0,"biggrid50-goal(40,31)",0.8265305161476135,0.4769227257564516
finetune,11,"biggrid50-goal(21,24)",1,"biggrid50-goal(9,31)",0.8306122422218323,0.2338462583665858
finetune,11,"biggrid50-goal(21,24)",2,"biggrid50-goal(15,31)",0.845578134059906,0.3323524318351199
finetune,11,"biggrid50-goal(21,24)",3,"biggrid50-goal(9,24)",0.8945576548576355,0.4807361860184419
finetune,11,"biggrid50-goal(21,24)",4,"biggrid50-goal(21,17)",0.777550995349884,0.19951032121898488
finetune,11,"biggrid50-goal(21,24)",5,"biggrid50-goal(27,3)",0.7299318313598633,0.023369551277284434
finetune,11,"biggrid50-goal(21,24)",6,"biggrid50-goal(3,31)",0.8870747089385986,0.6315201390076103
finetune,11,"biggrid50-goal(21,24)",7,"biggrid50-goal(33,10)",0.9142856597900391,0.47169783594377407
finetune,11,"biggrid50-goal(21,24)",8,"biggrid50-goal(27,45)",0.6840136051177979,0.11523796776361005
finetune,11,"biggrid50-goal(21,24)",9,"biggrid50-goal(21,45)",0.8649658560752869,0.535672130596511
finetune,11,"biggrid50-goal(21,24)",10,"biggrid50-goal(33,3)",0.9159862399101257,0.47558319505316654
finetune,11,"biggrid50-goal(21,24)",11,"biggrid50-goal(21,24)",0.8894556164741516,0.5045726059299226
finetune,12,"biggrid50-goal(21,3)",0,"biggrid50-goal(40,31)",0.8921768069267273,0.6748715642631606
finetune,12,"biggrid50-goal(21,3)",1,"biggrid50-goal(9,31)",0.8323128819465637,0.2415383814890831
finetune,12,"biggrid50-goal(21,3)",2,"biggrid50-goal(15,31)",0.8448979258537292,0.3294115312577633
finetune,12,"biggrid50-goal(21,3)",3,"biggrid50-goal(9,24)",0.896938681602478,0.4924618454491925
finetune,12,"biggrid50-goal(21,3)",4,"biggrid50-goal(21,17)",0.7765305638313293,0.1958382665843028
finetune,12,"biggrid50-goal(21,3)",5,"biggrid50-goal(27,3)",0.7782312631607056,0.198031733755973
finetune,12,"biggrid50-goal(21,3)",6,"biggrid50-goal(3,31)",0.8571427464485168,0.5338509165162754
finetune,12,"biggrid50-goal(21,3)",7,"biggrid50-goal(33,10)",0.9408162832260132,0.6352198993540822
finetune,12,"biggrid50-goal(21,3)",8,"biggrid50-goal(27,45)",0.6863945722579956,0.12190467670984412
finetune,12,"biggrid50-goal(21,3)",9,"biggrid50-goal(21,45)",0.8642855882644653,0.533332964412004
finetune,12,"biggrid50-goal(21,3)",10,"biggrid50-goal(33,3)",0.9316324591636658,0.5732474384064172
finetune,12,"biggrid50-goal(21,3)",11,"biggrid50-goal(21,24)",0.8918367028236389,0.5152439342014896
finetune,12,"biggrid50-goal(21,3)",12,"biggrid50-goal(21,3)",0.9880950450897217,0.9599993511199889
finetune,13,"biggrid50-goal(3,17)",0,"biggrid50-goal(40,31)",0.7204080820083618,0.15692273294568962
finetune,13,"biggrid50-goal(3,17)",1,"biggrid50-goal(9,31)",0.8666666746139526,0.39692320467027153
finetune,13,"biggrid50-goal(3,17)",2,"biggrid50-goal(15,31)",0.8605441451072693,0.3970584293962237
finetune,13,"biggrid50-goal(3,17)",3,"biggrid50-goal(9,24)",0.9792516231536865,0.8978220630374175
finetune,13,"biggrid50-goal(3,17)",4,"biggrid50-goal(21,17)",0.7935373783111572,0.2570378187309105
finetune,13,"biggrid50-goal(3,17)",5,"biggrid50-goal(27,3)",0.7363945245742798,0.046740180277116954
finetune,13,"biggrid50-goal(3,17)",6,"biggrid50-goal(3,31)",0.9384353160858154,0.7991119087892867
finetune,13,"biggrid50-goal(3,17)",7,"biggrid50-goal(33,10)",0.8860543370246887,0.29769347594321566
finetune,13,"biggrid50-goal(3,17)",8,"biggrid50-goal(27,45)",0.6714285612106323,0.07999983978269193
finetune,13,"biggrid50-goal(3,17)",9,"biggrid50-goal(21,45)",0.8353740572929382,0.43391788917972185
finetune,13,"biggrid50-goal(3,17)",10,"biggrid50-goal(33,3)",0.8197278380393982,-0.12526508866053024
finetune,13,"biggrid50-goal(3,17)",11,"biggrid50-goal(21,24)",0.8942176103591919,0.5259144610816273
finetune,13,"biggrid50-goal(3,17)",12,"biggrid50-goal(21,3)",0.9095236659049988,0.6959995145416213
