method,task,task_name,phase,iter,frames_total,raw,normalized
finetune,2,"biggrid50-goal(15,31)",finetune,140,604160,0.9581632614135742,0.8191176061296078
finetune,2,"biggrid50-goal(15,31)",finetune,150,614400,0.9999998807907104,0.9999994845950618
finetune,3,"biggrid50-goal(9,24)",finetune,10,624640,0.9561222791671753,0.7839187601744979
finetune,3,"biggrid50-goal(9,24)",finetune,20,634880,0.9459182024002075,0.7336675274935262
finetune,3,"biggrid50-goal(9,24)",finetune,30,645120,0.938775360584259,0.6984917233229286
finetune,3,"biggrid50-goal(9,24)",finetune,40,655360,0.9010204076766968,0.5125628081702429
finetune,3,"biggrid50-goal(9,24)",finetune,50,665600,0.8979591131210327,0.49748708612945514
finetune,3,"biggrid50-goal(9,24)",finetune,60,675840,0.9336735010147095,0.6733669875736835
finetune,3,"biggrid50-goal(9,24)",finetune,70,686080,0.9295917749404907,0.6532660248526331
finetune,3,"biggrid50-goal(9,24)",finetune,80,696320,0.9295916557312012,0.6532654377918059
finetune,3,"biggrid50-goal(9,24)",finetune,90,706560,0.9673468470573425,0.8391955270661459
finetune,3,"biggrid50-goal(9,24)",finetune,100,716800,0.9632651209831238,0.8190945643450955
finetune,3,"biggrid50-goal(9,24)",finetune,110,727040,0.9591835141181946,0.7989941886848722
finetune,3,"biggrid50-goal(9,24)",finetune,120,737280,0.9418365359306335,0.7135668583028894
finetune,3,"biggrid50-goal(9,24)",finetune,130,747520,0.9530611038208008,0.7688436251945373
finetune,3,"biggrid50-goal(9,24)",finetune,140,757760,0.9448979496955872,0.7286431674045043
finetune,3,"biggrid50-goal(9,24)",finetune,150,768000,0.9581631422042847,0.7939692415350231
finetune,4,"biggrid50-goal(21,17)",finetune,10,778240,0.7704081535339355,0.17380658224372833
finetune,4,"biggrid50-goal(21,17)",finetune,20,788480,0.8142856359481812,0.33170107072994953
finetune,4,"biggrid50-goal(21,17)",finetune,30,798720,0.8051020503044128,0.2986536514636741
finetune,4,"biggrid50-goal(21,17)",finetune,40,808960,0.8183673024177551,0.34638907477950515
finetune,4,"biggrid50-goal(21,17)",finetune,50,819200,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,60,829440,0.8183673024177551,0.34638907477950515
finetune,4,"biggrid50-goal(21,17)",finetune,70,839680,0.7948979139328003,0.26193374858437146
finetune,4,"biggrid50-goal(21,17)",finetune,80,849920,0.7897958755493164,0.24357390438930643
finetune,4,"biggrid50-goal(21,17)",finetune,90,860160,0.8091835975646973,0.3133412265348845
finetune,4,"biggrid50-goal(21,17)",finetune,100,870400,0.8153060674667358,0.3353731253646316
finetune,4,"biggrid50-goal(21,17)",finetune,110,880640,0.8091837167739868,0.3133416555132297
finetune,4,"biggrid50-goal(21,17)",finetune,120,890880,0.8091837167739868,0.3133416555132297
finetune,4,"biggrid50-goal(21,17)",finetune,130,901120,0.7989795804023743,0.276621752633927
finetune,4,"biggrid50-goal(21,17)",finetune,140,911360,0.8142856359481812,0.33170107072994953
finetune,4,"biggrid50-goal(21,17)",finetune,150,921600,0.8244897723197937,0.3684209736092522
finetune,4,"biggrid50-goal(21,17)",finetune,160,931840,0.8367346525192261,0.41248455677957374
finetune,4,"biggrid50-goal(21,17)",finetune,170,942080,0.8367346525192261,0.41248455677957374
finetune,4,"biggrid50-goal(21,17)",finetune,180,952320,0.8265305757522583,0.3757648683894437
finetune,4,"biggrid50-goal(21,17)",finetune,190,962560,0.8183673024177551,0.34638907477950515
finetune,4,"biggrid50-goal(21,17)",finetune,200,972800,0.7948979139328003,0.26193374858437146
finetune,4,"biggrid50-goal(21,17)",finetune,210,983040,0.8091837167739868,0.3133416555132297
finetune,4,"biggrid50-goal(21,17)",finetune,220,993280,0.8316326141357422,0.3941247125845087
finetune,4,"biggrid50-goal(21,17)",finetune,230,1003520,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,240,1013760,0.7989795207977295,0.27662153814475443
finetune,4,"biggrid50-goal(21,17)",finetune,250,1024000,0.8397958874702454,0.4235005061944473
finetune,4,"biggrid50-goal(21,17)",finetune,260,1034240,0.8316326141357422,0.3941247125845087
finetune,4,"biggrid50-goal(21,17)",finetune,270,1044480,0.8051020503044128,0.2986536514636741
finetune,4,"biggrid50-goal(21,17)",finetune,280,1054720,0.8397958874702454,0.4235005061944473
finetune,4,"biggrid50-goal(21,17)",finetune,290,1064960,0.8397958874702454,0.4235005061944473
finetune,4,"biggrid50-goal(21,17)",finetune,300,1075200,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,310,1085440,0.8071428537368774,0.3059975462438656
finetune,4,"biggrid50-goal(21,17)",finetune,320,1095680,0.827551007270813,0.37943692302412574
finetune,4,"biggrid50-goal(21,17)",finetune,330,1105920,0.827551007270813,0.37943692302412574
finetune,4,"biggrid50-goal(21,17)",finetune,340,1116160,0.8326530456542969,0.39779676721919077
finetune,4,"biggrid50-goal(21,17)",finetune,350,1126400,0.8336734771728516,0.40146882185387284
finetune,4,"biggrid50-goal(21,17)",finetune,360,1136640,0.8326530456542969,0.39779676721919077
finetune,4,"biggrid50-goal(21,17)",finetune,370,1146880,0.8367346525192261,0.41248455677957374
finetune,4,"biggrid50-goal(21,17)",finetune,380,1157120,0.8367346525192261,0.41248455677957374
finetune,4,"biggrid50-goal(21,17)",finetune,390,1167360,0.8367346525192261,0.41248455677957374
finetune,4,"biggrid50-goal(21,17)",finetune,400,1177600,0.8173469305038452,0.34271723463399567
finetune,4,"biggrid50-goal(21,17)",finetune,410,1187840,0.8744896650314331,0.5483471464360479
finetune,4,"biggrid50-goal(21,17)",finetune,420,1198080,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,430,1208320,0.8520407676696777,0.46756408936476884
finetune,4,"biggrid50-goal(21,17)",finetune,440,1218560,0.8520407676696777,0.46756408936476884
finetune,4,"biggrid50-goal(21,17)",finetune,450,1228800,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,460,1239040,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,470,1249280,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,480,1259520,0.8030611872673035,0.29130954219431004
finetune,4,"biggrid50-goal(21,17)",finetune,490,1269760,0.8357142210006714,0.40881250214489173
finetune,4,"biggrid50-goal(21,17)",finetune,500,1280000,0.8806121945381165,0.5703792597549676
finetune,5,"biggrid50-goal(27,3)",finetune,10,1290240,0.7897958755493164,0.23985211060106096
finetune,5,"biggrid50-goal(27,3)",finetune,20,1300480,0.7999999523162842,0.27675246846961027
finetune,5,"biggrid50-goal(27,3)",finetune,30,1310720,0.8010204434394836,0.2804428060187787
finetune,5,"biggrid50-goal(27,3)",finetune,40,1320960,0.8204081654548645,0.3505533997512185
finetune,5,"biggrid50-goal(27,3)",finetune,50,1331200,0.823469340801239,0.36162333467617563
finetune,5,"biggrid50-goal(27,3)",finetune,60,1341440,0.7775509357452393,0.19557150872319407
finetune,5,"biggrid50-goal(27,3)",finetune,70,1351680,0.778571367263794,0.19926163072785286
finetune,5,"biggrid50-goal(27,3)",finetune,80,1361920,0.8173468708992004,0.3394830337372422
finetune,5,"biggrid50-goal(27,3)",finetune,90,1372160,0.7918366193771362,0.24723192352135928
finetune,5,"biggrid50-goal(27,3)",finetune,100,1382400,0.7918366193771362,0.24723192352135928
finetune,5,"biggrid50-goal(27,3)",finetune,110,1392640,0.7938774824142456,0.25461216753067684
finetune,5,"biggrid50-goal(27,3)",finetune,120,1402880,0.787755012512207,0.2324718665917434
finetune,5,"biggrid50-goal(27,3)",finetune,130,1413120,0.8112243413925171,0.31734251725379914
finetune,5,"biggrid50-goal(27,3)",finetune,140,1423360,0.7857142686843872,0.22509205367144508
finetune,5,"biggrid50-goal(27,3)",finetune,150,1433600,0.7846938967704773,0.22140214721129592
finetune,5,"biggrid50-goal(27,3)",finetune,160,1443840,0.8010203242301941,0.28044237492975943
finetune,5,"biggrid50-goal(27,3)",finetune,170,1454080,0.8214284777641296,0.35424309066685805
finetune,5,"biggrid50-goal(27,3)",finetune,180,1464320,0.8275508880615234,0.3763831760612819
finetune,5,"biggrid50-goal(27,3)",finetune,190,1474560,0.8785713315010071,0.5608851809485381
finetune,5,"biggrid50-goal(27,3)",finetune,200,1484800,0.8693876266479492,0.5276747295401379
