method,Pong,Breakout,Boxing,Qbert,SpaceInvaders,mean
Constrained-local min-max,-2.0,9.3,0.22,249.25,354.7,122.29
Naive fine-tuning,-21.0,1.25,-11.33,146.5,407.8,104.64
