method,space_invaders,breakout,asterix,seaquest,mean
random,2.8,0.54,0.46,0.09,0.97
Constrained-local min-max,33.55,2.96,0.98,1.3,9.7
Unconstrained-local min-max,35.63,2.22,0.62,1.52,10.0
Naive fine-tuning,3.82,0.34,3.19,4.79,3.04
