method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,200,204800,41.9,43.475,204800
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,35.1,79.114,358400
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,39.2,118.724,512000
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,43.6,163.137,665600
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,157.7,321.965,1177600
finetune,5,"biggrid50-goal(27,3)",finetune,200,204800,68.4,391.677,1382400
finetune,6,"biggrid50-goal(3,31)",finetune,150,153600,55.8,449.008,1536000
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,59.4,510.334,1689600
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,207.4,719.898,2201600
finetune,9,"biggrid50-goal(21,45)",finetune,200,204800,88.5,810.793,2406400
finetune,10,"biggrid50-goal(33,3)",finetune,150,153600,71.2,884.591,2560000
finetune,11,"biggrid50-goal(21,24)",finetune,150,153600,75.6,963.02,2713600
finetune,12,"biggrid50-goal(21,3)",finetune,250,256000,131.8,1098.04,2969600
finetune,13,"biggrid50-goal(3,17)",finetune,200,204800,110.0,1211.538,3174400
finetune,14,"biggrid50-goal(15,45)",finetune,150,153600,86.8,1302.052,3328000
finetune,15,"biggrid50-goal(3,24)",finetune,150,153600,89.8,1395.775,3481600
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,314.3,1714.185,3993600
finetune,17,"biggrid50-goal(46,31)",finetune,300,307200,195.1,1913.739,4300800
finetune,18,"biggrid50-goal(46,24)",finetune,150,153600,101.1,2019.611,4454400
finetune,19,"biggrid50-goal(3,45)",finetune,200,204800,140.0,2164.552,4659200
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,364.3,2534.131,5171200
finetune,21,"biggrid50-goal(40,3)",finetune,150,153600,112.3,2652.027,5324800
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,117.2,2774.996,5478400
finetune,23,"biggrid50-goal(40,45)",finetune,200,204800,164.0,2945.072,5683200
finetune,24,"biggrid50-goal(15,17)",finetune,150,153600,129.6,3081.283,5836800
finetune,25,"biggrid50-goal(15,24)",finetune,150,153600,133.2,3221.259,5990400
finetune,26,"biggrid50-goal(21,38)",finetune,150,153600,137.4,3365.724,6144000
finetune,27,"biggrid50-goal(33,17)",finetune,150,153600,141.5,3514.579,6297600
finetune,28,"biggrid50-goal(27,17)",finetune,500,512000,475.8,3998.012,6809600
finetune,29,"biggrid50-goal(3,3)",finetune,150,153600,149.8,4155.481,6963200
finetune,30,"biggrid50-goal(9,10)",finetune,150,153600,151.2,4314.775,7116800
finetune,31,"biggrid50-goal(46,17)",finetune,150,153600,152.6,4475.527,7270400
finetune,32,"biggrid50-goal(40,10)",finetune,500,512000,518.9,5002.792,7782400
finetune,33,"biggrid50-goal(46,38)",finetune,150,153600,159.9,5171.323,7936000
finetune,34,"biggrid50-goal(27,31)",finetune,150,153600,164.2,5344.393,8089600
finetune,35,"biggrid50-goal(21,31)",finetune,150,153600,168.6,5522.135,8243200
finetune,36,"biggrid50-goal(46,10)",finetune,150,153600,171.3,5702.941,8396800
finetune,37,"biggrid50-goal(9,17)",finetune,150,153600,175.3,5887.987,8550400
finetune,38,"biggrid50-goal(33,24)",finetune,150,153600,178.7,6076.589,8704000
finetune,39,"biggrid50-goal(40,17)",finetune,150,153600,187.3,6274.211,8857600
finetune,40,"biggrid50-goal(40,38)",finetune,500,512000,652.2,6937.107,9369600
finetune,41,"biggrid50-goal(33,38)",finetune,450,460800,600.6,7548.838,9830400
finetune,42,"biggrid50-goal(9,45)",finetune,150,153600,204.7,7764.991,9984000
finetune,43,"biggrid50-goal(9,38)",finetune,150,153600,208.8,7985.467,10137600
