method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,200,204800,53.8,56.02,204800
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,150,153600,49.2,105.488,358400
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,150,153600,51.8,157.773,512000
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,150,153600,57.2,215.664,665600
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,500,512000,207.4,424.117,1177600
cka_rl,5,"biggrid50-goal(27,3)",cka_rl,300,307200,130.7,556.167,1484800
cka_rl,6,"biggrid50-goal(3,31)",cka_rl,300,307200,137.5,695.19,1792000
cka_rl,7,"biggrid50-goal(33,10)",cka_rl,150,153600,72.6,769.624,1945600
cka_rl,8,"biggrid50-goal(27,45)",cka_rl,500,512000,253.3,1024.916,2457600
cka_rl,9,"biggrid50-goal(21,45)",cka_rl,200,204800,108.8,1136.155,2662400
cka_rl,10,"biggrid50-goal(33,3)",cka_rl,150,153600,82.9,1221.734,2816000
cka_rl,11,"biggrid50-goal(21,24)",cka_rl,150,153600,89.1,1313.813,2969600
cka_rl,12,"biggrid50-goal(21,3)",cka_rl,150,153600,93.4,1410.035,3123200
cka_rl,13,"biggrid50-goal(3,17)",cka_rl,350,358400,227.7,1640.576,3481600
cka_rl,14,"biggrid50-goal(15,45)",cka_rl,150,153600,100.8,1744.272,3635200
cka_rl,15,"biggrid50-goal(3,24)",cka_rl,150,153600,102.7,1849.975,3788800
cka_rl,16,"biggrid50-goal(3,10)",cka_rl,500,512000,362.3,2215.52,4300800
cka_rl,17,"biggrid50-goal(46,31)",cka_rl,350,358400,260.5,2479.092,4659200
cka_rl,18,"biggrid50-goal(46,24)",cka_rl,150,153600,114.9,2597.105,4812800
cka_rl,19,"biggrid50-goal(3,45)",cka_rl,200,204800,159.5,2759.741,5017600
cka_rl,20,"biggrid50-goal(21,10)",cka_rl,500,512000,389.3,3152.3,5529600
cka_rl,21,"biggrid50-goal(40,3)",cka_rl,300,307200,237.8,3393.417,5836800
cka_rl,22,"biggrid50-goal(15,38)",cka_rl,150,153600,121.9,3518.705,5990400
cka_rl,23,"biggrid50-goal(40,45)",cka_rl,200,204800,166.0,3688.475,6195200
cka_rl,24,"biggrid50-goal(15,17)",cka_rl,150,153600,126.5,3818.71,6348800
cka_rl,25,"biggrid50-goal(15,24)",cka_rl,200,204800,172.1,3994.747,6553600
cka_rl,26,"biggrid50-goal(21,38)",cka_rl,150,153600,131.6,4130.401,6707200
cka_rl,27,"biggrid50-goal(33,17)",cka_rl,150,153600,133.5,4268.143,6860800
cka_rl,28,"biggrid50-goal(27,17)",cka_rl,500,512000,452.6,4725.072,7372800
cka_rl,29,"biggrid50-goal(3,3)",cka_rl,500,512000,460.5,5190.151,7884800
cka_rl,30,"biggrid50-goal(9,10)",cka_rl,150,153600,139.1,5333.888,8038400
cka_rl,31,"biggrid50-goal(46,17)",cka_rl,150,153600,142.1,5480.664,8192000
cka_rl,32,"biggrid50-goal(40,10)",cka_rl,500,512000,479.5,5965.042,8704000
cka_rl,33,"biggrid50-goal(46,38)",cka_rl,200,204800,196.2,6166.354,8908800
cka_rl,34,"biggrid50-goal(27,31)",cka_rl,150,153600,148.5,6320.143,9062400
cka_rl,35,"biggrid50-goal(21,31)",cka_rl,150,153600,151.1,6476.584,9216000
cka_rl,36,"biggrid50-goal(46,10)",cka_rl,450,460800,461.3,6943.378,9676800
cka_rl,37,"biggrid50-goal(9,17)",cka_rl,150,153600,154.8,7103.886,9830400
cka_rl,38,"biggrid50-goal(33,24)",cka_rl,150,153600,157.4,7267.08,9984000
cka_rl,39,"biggrid50-goal(40,17)",cka_rl,150,153600,161.7,7434.7,10137600
cka_rl,40,"biggrid50-goal(40,38)",cka_rl,450,460800,489.5,7930.511,10598400
cka_rl,41,"biggrid50-goal(33,38)",cka_rl,500,512000,548.0,8484.802,11110400
cka_rl,42,"biggrid50-goal(9,45)",cka_rl,150,153600,166.9,8658.139,11264000
cka_rl,43,"biggrid50-goal(9,38)",cka_rl,150,153600,169.2,8834.009,11417600
cka_rl,44,"biggrid50-goal(9,3)",cka_rl,500,512000,566.4,9407.133,11929600
cka_rl,45,"biggrid50-goal(40,24)",cka_rl,150,153600,173.8,9587.772,12083200
cka_rl,46,"biggrid50-goal(33,31)",cka_rl,150,153600,175.2,9770.051,12236800
cka_rl,47,"biggrid50-goal(46,45)",cka_rl,200,204800,238.0,10015.204,12441600
cka_rl,48,"biggrid50-goal(3,38)",cka_rl,450,460800,540.2,10562.713,12902400
cka_rl,49,"biggrid50-goal(46,3)",cka_rl,200,204800,241.5,10811.715,13107200
