method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,200,204800,29.8,32.497,204800
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,24.6,57.452,358400
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,27.0,84.736,512000
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,30.8,116.021,665600
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,112.3,229.1,1177600
finetune,5,"biggrid50-goal(27,3)",finetune,300,307200,72.8,302.837,1484800
finetune,6,"biggrid50-goal(3,31)",finetune,500,512000,130.7,434.649,1996800
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,42.1,478.012,2150400
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,148.4,627.926,2662400
finetune,9,"biggrid50-goal(21,45)",finetune,150,153600,47.6,677.167,2816000
finetune,10,"biggrid50-goal(33,3)",finetune,150,153600,50.3,729.294,2969600
finetune,11,"biggrid50-goal(21,24)",finetune,150,153600,52.3,783.554,3123200
finetune,12,"biggrid50-goal(21,3)",finetune,500,512000,183.2,968.912,3635200
finetune,13,"biggrid50-goal(3,17)",finetune,300,307200,116.5,1087.799,3942400
finetune,14,"biggrid50-goal(15,45)",finetune,150,153600,60.5,1150.95,4096000
finetune,15,"biggrid50-goal(3,24)",finetune,400,409600,170.1,1323.826,4505600
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,219.8,1546.574,5017600
finetune,17,"biggrid50-goal(46,31)",finetune,500,512000,230.6,1780.301,5529600
finetune,18,"biggrid50-goal(46,24)",finetune,250,256000,119.7,1903.294,5785600
finetune,19,"biggrid50-goal(3,45)",finetune,150,153600,75.0,1981.846,5939200
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,258.3,2243.905,6451200
finetune,21,"biggrid50-goal(40,3)",finetune,300,307200,160.6,2408.416,6758400
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,83.3,2495.859,6912000
finetune,23,"biggrid50-goal(40,45)",finetune,200,204800,114.2,2614.31,7116800
finetune,24,"biggrid50-goal(15,17)",finetune,300,307200,177.1,2795.868,7424000
finetune,25,"biggrid50-goal(15,24)",finetune,250,256000,152.7,2953.183,7680000
finetune,26,"biggrid50-goal(21,38)",finetune,150,153600,94.2,3052.256,7833600
finetune,27,"biggrid50-goal(33,17)",finetune,150,153600,97.4,3154.717,7987200
finetune,28,"biggrid50-goal(27,17)",finetune,500,512000,332.8,3492.699,8499200
finetune,29,"biggrid50-goal(3,3)",finetune,500,512000,341.1,3839.207,9011200
finetune,30,"biggrid50-goal(9,10)",finetune,150,153600,105.2,3949.929,9164800
finetune,31,"biggrid50-goal(46,17)",finetune,150,153600,108.5,4064.183,9318400
finetune,32,"biggrid50-goal(40,10)",finetune,500,512000,368.8,4438.966,9830400
finetune,33,"biggrid50-goal(46,38)",finetune,150,153600,112.6,4557.619,9984000
finetune,34,"biggrid50-goal(27,31)",finetune,150,153600,115.2,4679.012,10137600
finetune,35,"biggrid50-goal(21,31)",finetune,150,153600,119.5,4804.911,10291200
finetune,36,"biggrid50-goal(46,10)",finetune,200,204800,161.9,4973.492,10496000
finetune,37,"biggrid50-goal(9,17)",finetune,250,256000,207.6,5187.88,10752000
finetune,38,"biggrid50-goal(33,24)",finetune,150,153600,127.6,5322.479,10905600
finetune,39,"biggrid50-goal(40,17)",finetune,150,153600,129.8,5459.463,11059200
finetune,40,"biggrid50-goal(40,38)",finetune,500,512000,444.1,5910.977,11571200
finetune,41,"biggrid50-goal(33,38)",finetune,500,512000,453.3,6371.904,12083200
finetune,42,"biggrid50-goal(9,45)",finetune,250,256000,230.9,6610.579,12339200
finetune,43,"biggrid50-goal(9,38)",finetune,150,153600,141.5,6760.052,12492800
finetune,44,"biggrid50-goal(9,3)",finetune,500,512000,478.5,7246.719,13004800
finetune,45,"biggrid50-goal(40,24)",finetune,200,204800,196.3,7451.331,13209600
finetune,46,"biggrid50-goal(33,31)",finetune,150,153600,150.0,7609.827,13363200
finetune,47,"biggrid50-goal(46,45)",finetune,300,307200,305.2,7923.757,13670400
finetune,48,"biggrid50-goal(3,38)",finetune,150,153600,155.5,8088.136,13824000
finetune,49,"biggrid50-goal(46,3)",finetune,500,512000,527.6,8624.682,14336000
