method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
baseline,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.938775360584259,0.8224847561370774
baseline,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.6884353160858154,0.09664668715253817
baseline,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.9132652282714844,0.6021837726120797
baseline,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.7153061032295227,0.17455607752417857
baseline,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.8945577144622803,0.5163802082621402
baseline,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.9193876385688782,0.6261823362059601
baseline,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.692176878452301,0.10749500512146788
baseline,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.9054420590400696,0.5663021578013554
baseline,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.897959291934967,0.5268142698765569
baseline,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.9149658679962158,0.4897956337249951
baseline,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.7251700162887573,0.20315559152478724
baseline,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.840135931968689,0.2667701871844151
baseline,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.8496598601341248,0.3028389336150404
baseline,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.9302720427513123,0.5816326056208325
baseline,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.8278911709785461,0.38367847966282653
baseline,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.7734693884849548,0.34319520491660915
baseline,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.8003400564193726,0.08424310189754203
