method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
baseline,0,"biggrid50-goal(40,31)",task1,200,204800,29.7,32.788,204800
baseline,1,"biggrid50-goal(9,31)",task1,150,153600,24.8,57.967,358400
baseline,2,"biggrid50-goal(15,31)",task1,300,307200,55.7,114.047,665600
baseline,3,"biggrid50-goal(9,24)",task1,150,153600,30.4,144.949,819200
baseline,4,"biggrid50-goal(21,17)",task1,500,512000,109.7,255.358,1331200
baseline,5,"biggrid50-goal(27,3)",task1,450,460800,107.0,363.227,1792000
baseline,6,"biggrid50-goal(3,31)",task1,250,256000,63.8,428.069,2048000
baseline,7,"biggrid50-goal(33,10)",task1,150,153600,41.3,470.596,2201600
baseline,8,"biggrid50-goal(27,45)",task1,500,512000,145.7,617.706,2713600
baseline,9,"biggrid50-goal(21,45)",task1,150,153600,46.4,665.734,2867200
baseline,10,"biggrid50-goal(33,3)",task1,150,153600,48.7,716.177,3020800
baseline,11,"biggrid50-goal(21,24)",task1,350,358400,124.3,842.465,3379200
baseline,12,"biggrid50-goal(21,3)",task1,150,153600,55.4,900.134,3532800
baseline,13,"biggrid50-goal(3,17)",task1,150,153600,59.2,961.754,3686400
baseline,14,"biggrid50-goal(15,45)",task1,200,204800,82.5,1046.856,3891200
baseline,15,"biggrid50-goal(3,24)",task1,150,153600,64.5,1114.157,4044800
baseline,16,"biggrid50-goal(3,10)",task1,500,512000,223.5,1340.681,4556800
baseline,17,"biggrid50-goal(46,31)",task1,150,153600,69.1,1412.865,4710400
baseline,18,"biggrid50-goal(46,24)",task1,200,204800,97.1,1513.285,4915200
baseline,19,"biggrid50-goal(3,45)",task1,300,307200,150.4,1667.241,5222400
baseline,20,"biggrid50-goal(21,10)",task1,500,512000,257.1,1928.017,5734400
baseline,21,"biggrid50-goal(40,3)",task1,500,512000,270.8,2202.746,6246400
baseline,22,"biggrid50-goal(15,38)",task1,150,153600,84.1,2290.926,6400000
baseline,23,"biggrid50-goal(40,45)",task1,200,204800,116.1,2411.296,6604800
baseline,24,"biggrid50-goal(15,17)",task1,500,512000,297.8,2713.536,7116800
baseline,25,"biggrid50-goal(15,24)",task1,150,153600,92.4,2810.578,7270400
baseline,26,"biggrid50-goal(21,38)",task1,300,307200,190.3,3005.687,7577600
baseline,27,"biggrid50-goal(33,17)",task1,250,256000,161.9,3172.573,7833600
baseline,28,"biggrid50-goal(27,17)",task1,450,460800,302.0,3479.77,8294400
baseline,29,"biggrid50-goal(3,3)",task1,200,204800,138.2,3623.394,8499200
baseline,30,"biggrid50-goal(9,10)",task1,500,512000,352.8,3981.735,9011200
baseline,31,"biggrid50-goal(46,17)",task1,150,153600,106.5,4093.821,9164800
baseline,32,"biggrid50-goal(40,10)",task1,500,512000,363.5,4463.094,9676800
baseline,33,"biggrid50-goal(46,38)",task1,500,512000,381.6,4850.829,10188800
baseline,34,"biggrid50-goal(27,31)",task1,150,153600,117.0,4974.142,10342400
baseline,35,"biggrid50-goal(21,31)",task1,300,307200,239.9,5220.551,10649600
baseline,36,"biggrid50-goal(46,10)",task1,500,512000,408.7,5635.969,11161600
baseline,37,"biggrid50-goal(9,17)",task1,300,307200,251.3,5894.146,11468800
baseline,38,"biggrid50-goal(33,24)",task1,300,307200,256.6,6157.796,11776000
baseline,39,"biggrid50-goal(40,17)",task1,200,204800,174.9,6339.952,11980800
baseline,40,"biggrid50-goal(40,38)",task1,500,512000,441.0,6788.421,12492800
baseline,41,"biggrid50-goal(33,38)",task1,200,204800,176.3,6972.156,12697600
baseline,42,"biggrid50-goal(9,45)",task1,200,204800,180.1,7159.864,12902400
baseline,43,"biggrid50-goal(9,38)",task1,250,256000,230.0,7397.671,13158400
baseline,44,"biggrid50-goal(9,3)",task1,500,512000,467.2,7872.803,13670400
baseline,45,"biggrid50-goal(40,24)",task1,200,204800,191.8,8072.709,13875200
baseline,46,"biggrid50-goal(33,31)",task1,150,153600,146.5,8227.557,14028800
baseline,47,"biggrid50-goal(46,45)",task1,300,307200,299.3,8535.427,14336000
baseline,48,"biggrid50-goal(3,38)",task1,500,512000,500.2,9044.172,14848000
baseline,49,"biggrid50-goal(46,3)",task1,500,512000,516.6,9569.604,15360000
