global_step,episodic_return
59632,110.0
59633,265.0
59712,190.0
59768,170.0
60096,460.0
60416,230.0
60488,175.0
60584,140.0
60632,400.0
60736,65.0
60936,340.0
61008,165.0
61128,265.0
61784,210.0
61785,330.0
62008,515.0
62048,170.0
62216,315.0
62344,430.0
62624,730.0
62720,140.0
63304,210.0
63336,225.0
63337,485.0
63400,220.0
63488,395.0
63520,215.0
63896,715.0
64000,170.0
64168,335.0
64352,140.0
64472,295.0
64632,465.0
64832,430.0
64952,140.0
65056,165.0
65128,370.0
65144,250.0
65176,225.0
65792,205.0
65896,190.0
65897,415.0
66008,160.0
66280,170.0
66352,280.0
66624,380.0
66768,135.0
66816,470.0
66928,215.0
67008,435.0
67232,385.0
67552,210.0
67632,220.0
67928,300.0
68064,320.0
68128,180.0
68344,320.0
68408,320.0
68736,305.0
68968,180.0
69288,50.0
69296,390.0
69544,380.0
69568,335.0
69616,310.0
69752,570.0
69920,360.0
70040,125.0
70112,110.0
70128,245.0
70496,115.0
70544,285.0
70568,170.0
70704,120.0
71184,80.0
71256,545.0
71368,200.0
71440,250.0
71536,570.0
71688,195.0
71816,175.0
71944,275.0
72088,50.0
72200,160.0
72304,85.0
72584,385.0
72680,145.0
72736,130.0
72840,595.0
72928,340.0
73080,180.0
73416,110.0
73984,370.0
74096,220.0
74120,350.0
74264,340.0
74312,380.0
74424,220.0
74832,575.0
74888,145.0
74976,185.0
75208,635.0
75280,165.0
75432,255.0
75632,185.0
75696,560.0
75880,135.0
76104,220.0
76232,305.0
76416,310.0
76688,110.0
76696,375.0
76840,380.0
77168,420.0
77192,220.0
77232,340.0
77352,80.0
77592,170.0
77792,110.0
78088,205.0
78120,450.0
78152,150.0
78160,635.0
78248,80.0
78272,225.0
78896,530.0
78920,85.0
79024,215.0
79152,110.0
79216,460.0
79288,245.0
79496,225.0
79648,300.0
80040,315.0
80056,160.0
80168,235.0
80288,305.0
80416,320.0
80600,330.0
80856,235.0
80928,395.0
81112,150.0
81144,210.0
81264,220.0
81408,160.0
81552,185.0
81712,260.0
81872,115.0
82112,400.0
82160,190.0
82240,300.0
82264,145.0
82696,410.0
82760,110.0
83032,440.0
83104,275.0
83216,325.0
83312,450.0
83424,245.0
83768,355.0
84048,175.0
84120,140.0
84200,730.0
84296,445.0
84424,610.0
84512,75.0
84552,245.0
84848,400.0
84984,205.0
85144,85.0
85352,160.0
85368,620.0
85369,370.0
85680,205.0
85944,185.0
86096,145.0
86112,360.0
86408,130.0
86536,75.0
86552,225.0
86648,265.0
86656,355.0
86736,575.0
86912,195.0
87464,125.0
87592,435.0
87752,340.0
87848,235.0
87944,320.0
88224,810.0
88304,205.0
88488,695.0
88552,175.0
88640,215.0
88920,360.0
89016,285.0
89152,200.0
89240,170.0
89432,180.0
89472,620.0
89808,220.0
89832,230.0
90032,125.0
90432,270.0
90456,490.0
90704,610.0
90744,300.0
90856,480.0
91208,115.0
91264,180.0
91312,315.0
91600,210.0
91696,535.0
91920,240.0
92056,145.0
92392,440.0
92664,255.0
92752,435.0
93072,510.0
93336,350.0
93568,295.0
93624,515.0
93632,195.0
93688,345.0
93792,185.0
94128,445.0
94168,290.0
94400,110.0
94496,110.0
94497,165.0
94688,445.0
94896,215.0
95040,225.0
95064,125.0
95072,200.0
95104,260.0
95240,110.0
95648,240.0
95784,175.0
95785,200.0
95848,315.0
96208,170.0
96320,185.0
96504,355.0
96704,240.0
96872,360.0
97080,275.0
97400,140.0
97504,85.0
97736,465.0
97840,385.0
97872,350.0
97984,770.0
98048,120.0
98160,325.0
98504,200.0
98576,105.0
98752,120.0
98753,190.0
98976,145.0
98992,425.0
99216,110.0
99248,475.0
99280,340.0
99472,155.0
99760,115.0
99984,395.0
100216,250.0
100256,295.0
100584,280.0
100640,385.0
100641,455.0
101088,375.0
101128,165.0
101288,305.0
101360,160.0
101432,215.0
101552,220.0
101752,740.0
101768,145.0
101952,375.0
102720,390.0
102824,285.0
102848,310.0
102856,220.0
102888,215.0
103136,315.0
103137,485.0
103280,420.0
103992,370.0
104152,165.0
104240,395.0
104256,275.0
104504,360.0
104528,385.0
104568,315.0
104800,575.0
105240,150.0
105368,265.0
105536,290.0
105744,415.0
105800,210.0
105912,455.0
106248,485.0
106544,145.0
106704,475.0
106712,205.0
106728,180.0
106736,350.0
106880,345.0
107216,110.0
107280,90.0
107296,120.0
107408,335.0
107640,375.0
108384,235.0
108400,360.0
108736,360.0
109120,715.0
109121,550.0
109122,460.0
109160,185.0
109176,580.0
109464,570.0
109696,175.0
109760,405.0
110392,155.0
110456,245.0
110560,320.0
110736,545.0
110760,380.0
110800,375.0
110904,275.0
111320,385.0
111536,185.0
111600,180.0
112040,245.0
112144,485.0
112272,140.0
112376,565.0
112464,500.0
112552,135.0
112632,415.0
112728,115.0
112960,400.0
113008,95.0
113128,115.0
113584,375.0
113616,410.0
113656,150.0
113848,270.0
113880,385.0
114336,495.0
114720,225.0
114952,285.0
114984,115.0
115120,265.0
115280,340.0
115304,530.0
115344,475.0
115536,730.0
116216,255.0
116256,300.0
116512,450.0
116704,560.0
116816,420.0
116824,300.0
116856,375.0
116904,305.0
117520,305.0
117680,360.0
117792,185.0
117832,175.0
118112,290.0
118304,280.0
118480,325.0
118544,115.0
118584,390.0
118640,730.0
119008,255.0
119224,265.0
119624,370.0
119656,170.0
119832,85.0
120000,450.0
120001,500.0
120192,70.0
120240,540.0
120896,365.0
120897,695.0
120944,215.0
121184,270.0
121376,315.0
121416,205.0
121592,390.0
121664,500.0
122144,350.0
122440,325.0
122480,520.0
122536,230.0
122816,115.0
123096,405.0
123296,585.0
123496,135.0
123600,515.0
123648,525.0
123672,200.0
123800,185.0
123976,270.0
124088,380.0
124400,130.0
124544,85.0
124584,230.0
124640,175.0
124648,140.0
124656,370.0
125352,365.0
125488,205.0
125536,400.0
125744,150.0
125928,385.0
126128,440.0
126440,140.0
126704,590.0
126984,345.0
126992,340.0
127184,295.0
127256,505.0
127416,645.0
127568,120.0
127720,355.0
127752,95.0
