method,task,final_value,final_ci,retention_pct,retention_ci
constrained,1,-12.8,0.0,-1280.0,0.0
constrained,2,5.4,0.0,100.0,0.0
constrained,3,2.7,0.0,84.4,0.0
constrained,4,0.0,0.0,0.0,0.0
constrained,5,148.5,0.0,61.0,0.0
constrained,mean,28.76,0.0,-206.9,0.0
finetune,1,-20.5,0.0,-2050.0,0.0
finetune,2,1.4,0.0,25.9,0.0
finetune,3,3.2,0.0,100.0,0.0
finetune,4,0.0,0.0,0.0,0.0
finetune,5,243.5,0.0,100.0,0.0
finetune,mean,45.52,0.0,-364.8,0.0
