method,Pong,Breakout,Boxing,Freeway,SpaceInvaders,mean
Constrained-local min-max,-12.8,5.4,2.7,0.0,148.5,28.76
Naive fine-tuning,-20.5,1.4,3.2,0.0,243.5,45.52
