method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,250,256000,37.9,39.448,256000
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,25.4,65.21,409600
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,28.0,93.617,563200
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,31.1,125.229,716800
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,112.0,237.929,1228800
finetune,5,"biggrid50-goal(27,3)",finetune,300,307200,72.8,311.64,1536000
finetune,6,"biggrid50-goal(3,31)",finetune,150,153600,39.4,352.137,1689600
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,42.1,395.572,1843200
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,147.8,544.827,2355200
finetune,9,"biggrid50-goal(21,45)",finetune,350,358400,111.4,657.855,2713600
finetune,10,"biggrid50-goal(33,3)",finetune,150,153600,50.7,710.375,2867200
finetune,11,"biggrid50-goal(21,24)",finetune,150,153600,53.6,766.024,3020800
finetune,12,"biggrid50-goal(21,3)",finetune,150,153600,56.0,824.291,3174400
finetune,13,"biggrid50-goal(3,17)",finetune,150,153600,58.9,885.646,3328000
finetune,14,"biggrid50-goal(15,45)",finetune,150,153600,61.8,950.086,3481600
finetune,15,"biggrid50-goal(3,24)",finetune,150,153600,64.7,1017.62,3635200
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,223.9,1244.548,4147200
finetune,17,"biggrid50-goal(46,31)",finetune,200,204800,93.4,1341.072,4352000
finetune,18,"biggrid50-goal(46,24)",finetune,250,256000,121.5,1465.948,4608000
finetune,19,"biggrid50-goal(3,45)",finetune,150,153600,75.4,1544.864,4761600
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,260.9,1809.431,5273600
finetune,21,"biggrid50-goal(40,3)",finetune,150,153600,81.0,1894.336,5427200
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,84.0,1982.433,5580800
finetune,23,"biggrid50-goal(40,45)",finetune,250,256000,144.9,2131.6,5836800
finetune,24,"biggrid50-goal(15,17)",finetune,150,153600,89.3,2225.388,5990400
finetune,25,"biggrid50-goal(15,24)",finetune,150,153600,92.3,2322.371,6144000
