method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,250,256000,53.9,56.937,256000
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,35.3,92.81,409600
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,39.4,132.722,563200
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,43.4,176.968,716800
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,156.9,334.977,1228800
finetune,5,"biggrid50-goal(27,3)",finetune,500,512000,168.3,504.617,1740800
finetune,6,"biggrid50-goal(3,31)",finetune,300,307200,110.4,616.61,2048000
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,59.4,677.83,2201600
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,207.6,887.535,2713600
finetune,9,"biggrid50-goal(21,45)",finetune,250,256000,108.9,998.85,2969600
finetune,10,"biggrid50-goal(33,3)",finetune,200,204800,91.5,1092.912,3174400
finetune,11,"biggrid50-goal(21,24)",finetune,150,153600,73.1,1168.801,3328000
finetune,12,"biggrid50-goal(21,3)",finetune,150,153600,77.0,1248.967,3481600
finetune,13,"biggrid50-goal(3,17)",finetune,150,153600,81.0,1333.358,3635200
finetune,14,"biggrid50-goal(15,45)",finetune,150,153600,84.8,1421.816,3788800
finetune,15,"biggrid50-goal(3,24)",finetune,150,153600,88.9,1514.623,3942400
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,303.6,1822.348,4454400
finetune,17,"biggrid50-goal(46,31)",finetune,500,512000,320.5,2147.113,4966400
finetune,18,"biggrid50-goal(46,24)",finetune,200,204800,134.1,2285.918,5171200
finetune,19,"biggrid50-goal(3,45)",finetune,150,153600,103.9,2394.727,5324800
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,360.1,2760.029,5836800
finetune,21,"biggrid50-goal(40,3)",finetune,150,153600,111.4,2876.96,5990400
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,115.5,2998.014,6144000
finetune,23,"biggrid50-goal(40,45)",finetune,150,153600,139.6,3143.637,6297600
