method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
baseline,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.9336733222007751,0.8040196526842271
baseline,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.7234693169593811,0.18291430983745519
baseline,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.9299318790435791,0.7048707271080796
baseline,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.7098639011383057,0.14271338003872136
baseline,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.8894556760787964,0.5343836041859196
baseline,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.9030611515045166,0.5777775873961847
baseline,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.6959183812141418,0.1015075194571049
baseline,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.889115571975708,0.5329510743095375
baseline,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.8653060793876648,0.4133333229488828
baseline,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.9697278141975403,0.8710141688529045
baseline,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.7676869630813599,0.3135674637720339
baseline,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.832312822341919,0.29369598984525613
baseline,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.8367347121238708,0.2888891831149873
baseline,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.8676869869232178,0.43623152703104245
baseline,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.7935373783111572,0.2570378187309105
baseline,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.7629250884056091,0.2994971999838676
baseline,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.7846938371658325,0.09312322895146395
baseline,5,"biggrid50-goal(27,3)",2,"biggrid50-goal(15,31)",0.7748299837112427,0.019259780789441506
baseline,5,"biggrid50-goal(27,3)",3,"biggrid50-goal(9,24)",0.8006802201271057,0.1507244426045902
baseline,5,"biggrid50-goal(27,3)",4,"biggrid50-goal(21,17)",0.7414966225624084,0.06976753663475067
baseline,5,"biggrid50-goal(27,3)",5,"biggrid50-goal(27,3)",0.8278910517692566,0.4862941025145625
baseline,6,"biggrid50-goal(3,31)",0,"biggrid50-goal(40,31)",0.7061224579811096,0.13165826083571988
baseline,6,"biggrid50-goal(3,31)",1,"biggrid50-goal(9,31)",0.9299318194389343,0.704870476051319
baseline,6,"biggrid50-goal(3,31)",2,"biggrid50-goal(15,31)",0.8935374617576599,0.5362966401369916
baseline,6,"biggrid50-goal(3,31)",3,"biggrid50-goal(9,24)",0.9704081416130066,0.8739129551417012
baseline,6,"biggrid50-goal(3,31)",4,"biggrid50-goal(21,17)",0.7557823061943054,0.12117501458526374
baseline,6,"biggrid50-goal(3,31)",5,"biggrid50-goal(27,3)",0.6874149441719055,0.06700500877255718
baseline,6,"biggrid50-goal(3,31)",6,"biggrid50-goal(3,31)",0.9588433504104614,0.8588091774627635
baseline,7,"biggrid50-goal(33,10)",0,"biggrid50-goal(40,31)",0.6928570866584778,0.09246208570161023
baseline,7,"biggrid50-goal(33,10)",1,"biggrid50-goal(9,31)",0.7918367385864258,0.12320936903661737
baseline,7,"biggrid50-goal(33,10)",2,"biggrid50-goal(15,31)",0.7969388365745544,0.11555608862401617
baseline,7,"biggrid50-goal(33,10)",3,"biggrid50-goal(9,24)",0.8326530456542969,0.28695647757085063
