method,task,task_name,phase,iter,frames_total,raw,normalized
baseline,0,"biggrid50-goal(40,31)",task1,10,10240,0.7867346405982971,0.3698490472794748
baseline,0,"biggrid50-goal(40,31)",task1,20,20480,0.8285714387893677,0.49346733349735816
baseline,0,"biggrid50-goal(40,31)",task1,30,30720,0.8285714387893677,0.49346733349735816
baseline,0,"biggrid50-goal(40,31)",task1,40,40960,0.8285714387893677,0.49346733349735816
baseline,0,"biggrid50-goal(40,31)",task1,50,51200,0.8346937298774719,0.511557320417055
baseline,0,"biggrid50-goal(40,31)",task1,60,61440,0.8285714387893677,0.49346733349735816
baseline,0,"biggrid50-goal(40,31)",task1,70,71680,0.8285714387893677,0.49346733349735816
baseline,0,"biggrid50-goal(40,31)",task1,80,81920,0.8306121826171875,0.499497270431171
baseline,0,"biggrid50-goal(40,31)",task1,90,92160,0.8295917510986328,0.4964821258460061
baseline,0,"biggrid50-goal(40,31)",task1,100,102400,0.8428570032119751,0.5356779487435988
baseline,0,"biggrid50-goal(40,31)",task1,110,112640,0.8530610799789429,0.5658286901222137
baseline,0,"biggrid50-goal(40,31)",task1,120,122880,0.8663264513015747,0.6050248652563234
baseline,0,"biggrid50-goal(40,31)",task1,130,133120,0.8326530456542969,0.5055275596015008
baseline,0,"biggrid50-goal(40,31)",task1,140,143360,0.8530610799789429,0.5658286901222137
baseline,0,"biggrid50-goal(40,31)",task1,150,153600,0.9193876385688782,0.7618086852014696
baseline,0,"biggrid50-goal(40,31)",task1,160,163840,0.9438773989677429,0.8341703940628422
baseline,0,"biggrid50-goal(40,31)",task1,170,174080,0.9632651209831238,0.8914567322349073
baseline,0,"biggrid50-goal(40,31)",task1,180,184320,0.95714271068573,0.8733663930786933
baseline,0,"biggrid50-goal(40,31)",task1,190,194560,0.9530611038208008,0.8613061669745508
baseline,0,"biggrid50-goal(40,31)",task1,200,204800,0.9530611038208008,0.8613061669745508
baseline,0,"biggrid50-goal(40,31)",task1,210,215040,0.9122447967529297,0.7407032014600908
baseline,0,"biggrid50-goal(40,31)",task1,220,225280,0.8704080581665039,0.617085091360466
baseline,0,"biggrid50-goal(40,31)",task1,230,235520,0.8918366432189941,0.6804017187028608
baseline,0,"biggrid50-goal(40,31)",task1,240,245760,0.9602039456367493,0.8824116507159295
baseline,0,"biggrid50-goal(40,31)",task1,250,256000,0.9489794969558716,0.8492459408704082
baseline,1,"biggrid50-goal(9,31)",task1,10,266240,0.8897958993911743,0.5358166361758231
baseline,1,"biggrid50-goal(9,31)",task1,20,276480,0.8897958993911743,0.5358166361758231
baseline,1,"biggrid50-goal(9,31)",task1,30,286720,0.8897958993911743,0.5358166361758231
baseline,1,"biggrid50-goal(9,31)",task1,40,296960,0.8897958993911743,0.5358166361758231
baseline,1,"biggrid50-goal(9,31)",task1,50,307200,0.8897958993911743,0.5358166361758231
baseline,1,"biggrid50-goal(9,31)",task1,60,317440,0.8897958993911743,0.5358166361758231
baseline,1,"biggrid50-goal(9,31)",task1,70,327680,0.8897958993911743,0.5358166361758231
baseline,1,"biggrid50-goal(9,31)",task1,80,337920,0.901020348072052,0.5830943900613658
baseline,1,"biggrid50-goal(9,31)",task1,90,348160,0.9142856597900391,0.6389683274322442
baseline,1,"biggrid50-goal(9,31)",task1,100,358400,0.9744898080825806,0.8925502170009111
baseline,1,"biggrid50-goal(9,31)",task1,110,368640,0.9275509715080261,0.6948422648031225
baseline,1,"biggrid50-goal(9,31)",task1,120,378880,0.9132652282714844,0.6346702356895764
baseline,1,"biggrid50-goal(9,31)",task1,130,389120,0.9428570866584778,0.7593121346025759
baseline,1,"biggrid50-goal(9,31)",task1,140,399360,0.876530647277832,0.4799429498617054
baseline,1,"biggrid50-goal(9,31)",task1,150,409600,0.9193876385688782,0.6604580329753013
baseline,2,"biggrid50-goal(15,31)",task1,10,419840,0.7877551317214966,0.0755559640106098
baseline,2,"biggrid50-goal(15,31)",task1,20,430080,0.7897959351539612,0.084444794054279
baseline,2,"biggrid50-goal(15,31)",task1,30,440320,0.7897959351539612,0.084444794054279
baseline,2,"biggrid50-goal(15,31)",task1,40,450560,0.7897959351539612,0.084444794054279
baseline,2,"biggrid50-goal(15,31)",task1,50,460800,0.7918367385864258,0.09333362409794821
baseline,2,"biggrid50-goal(15,31)",task1,60,471040,0.7908163070678711,0.08888907927048197
baseline,2,"biggrid50-goal(15,31)",task1,70,481280,0.7897959351539612,0.084444794054279
baseline,2,"biggrid50-goal(15,31)",task1,80,491520,0.7897959351539612,0.084444794054279
