method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
baseline,0,"biggrid50-goal(40,31)",task1,250,256000,36.7,37.868,256000
baseline,1,"biggrid50-goal(9,31)",task1,150,153600,24.6,62.804,409600
baseline,2,"biggrid50-goal(15,31)",task1,200,204800,36.2,99.349,614400
baseline,3,"biggrid50-goal(9,24)",task1,150,153600,30.1,130.036,768000
baseline,4,"biggrid50-goal(21,17)",task1,500,512000,106.3,237.017,1280000
baseline,5,"biggrid50-goal(27,3)",task1,300,307200,71.2,309.167,1587200
baseline,6,"biggrid50-goal(3,31)",task1,200,204800,50.7,360.993,1792000
baseline,7,"biggrid50-goal(33,10)",task1,150,153600,40.9,403.168,1945600
baseline,8,"biggrid50-goal(27,45)",task1,500,512000,144.9,549.572,2457600
baseline,9,"biggrid50-goal(21,45)",task1,150,153600,46.5,597.767,2611200
baseline,10,"biggrid50-goal(33,3)",task1,150,153600,48.3,647.83,2764800
baseline,11,"biggrid50-goal(21,24)",task1,350,358400,121.8,771.645,3123200
baseline,12,"biggrid50-goal(21,3)",task1,150,153600,54.2,828.015,3276800
baseline,13,"biggrid50-goal(3,17)",task1,150,153600,56.5,886.851,3430400
baseline,14,"biggrid50-goal(15,45)",task1,150,153600,60.7,950.067,3584000
baseline,15,"biggrid50-goal(3,24)",task1,150,153600,63.4,1016.206,3737600
baseline,16,"biggrid50-goal(3,10)",task1,500,512000,219.4,1238.584,4249600
baseline,17,"biggrid50-goal(46,31)",task1,150,153600,67.9,1309.568,4403200
baseline,18,"biggrid50-goal(46,24)",task1,250,256000,119.0,1431.878,4659200
baseline,19,"biggrid50-goal(3,45)",task1,250,256000,123.1,1558.45,4915200
baseline,20,"biggrid50-goal(21,10)",task1,500,512000,255.4,1817.452,5427200
baseline,21,"biggrid50-goal(40,3)",task1,200,204800,106.2,1927.433,5632000
baseline,22,"biggrid50-goal(15,38)",task1,150,153600,81.5,2012.879,5785600
baseline,23,"biggrid50-goal(40,45)",task1,250,256000,140.8,2157.846,6041600
baseline,24,"biggrid50-goal(15,17)",task1,200,204800,115.8,2278.023,6246400
baseline,25,"biggrid50-goal(15,24)",task1,150,153600,90.2,2372.768,6400000
baseline,26,"biggrid50-goal(21,38)",task1,150,153600,91.9,2469.302,6553600
baseline,27,"biggrid50-goal(33,17)",task1,350,358400,222.0,2696.152,6912000
baseline,28,"biggrid50-goal(27,17)",task1,500,512000,325.1,3026.348,7424000
baseline,29,"biggrid50-goal(3,3)",task1,400,409600,270.0,3301.666,7833600
baseline,30,"biggrid50-goal(9,10)",task1,500,512000,346.1,3653.478,8345600
baseline,31,"biggrid50-goal(46,17)",task1,150,153600,107.0,3766.137,8499200
baseline,32,"biggrid50-goal(40,10)",task1,500,512000,364.4,4136.337,9011200
baseline,33,"biggrid50-goal(46,38)",task1,300,307200,224.3,4366.696,9318400
baseline,34,"biggrid50-goal(27,31)",task1,350,358400,268.2,4641.07,9676800
baseline,35,"biggrid50-goal(21,31)",task1,400,409600,314.0,4961.458,10086400
baseline,36,"biggrid50-goal(46,10)",task1,150,153600,120.3,5088.306,10240000
baseline,37,"biggrid50-goal(9,17)",task1,200,204800,165.5,5260.593,10444800
baseline,38,"biggrid50-goal(33,24)",task1,250,256000,211.7,5479.229,10700800
baseline,39,"biggrid50-goal(40,17)",task1,200,204800,174.6,5661.08,10905600
baseline,40,"biggrid50-goal(40,38)",task1,500,512000,446.0,6114.514,11417600
baseline,41,"biggrid50-goal(33,38)",task1,200,204800,180.7,6302.798,11622400
baseline,42,"biggrid50-goal(9,45)",task1,500,512000,465.3,6775.874,12134400
baseline,43,"biggrid50-goal(9,38)",task1,350,358400,331.8,7115.647,12492800
baseline,44,"biggrid50-goal(9,3)",task1,500,512000,484.1,7607.893,13004800
baseline,45,"biggrid50-goal(40,24)",task1,200,204800,197.4,7813.684,13209600
baseline,46,"biggrid50-goal(33,31)",task1,150,153600,150.8,7973.029,13363200
baseline,47,"biggrid50-goal(46,45)",task1,250,256000,256.2,8237.985,13619200
baseline,48,"biggrid50-goal(3,38)",task1,500,512000,518.4,8765.268,14131200
baseline,49,"biggrid50-goal(46,3)",task1,250,256000,265.3,9039.648,14387200
