iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
69,573440,143360,127,265.8,-19.62,,-0.0189,0.0396,2.594,0.00672,0.3164
70,581632,145408,127,268.4,-19.62,,-0.0186,0.0352,2.5598,0.00759,0.3271
71,589824,147456,130,271.1,-19.52,,-0.0185,0.0276,2.5398,0.00658,0.3174
72,598016,149504,131,273.7,-19.53,,-0.0194,0.0283,2.5604,0.00747,0.3232
73,606208,151552,132,276.4,-19.46,,-0.0175,0.0292,2.5546,0.00555,0.2704
74,614400,153600,133,279.0,-19.46,,-0.019,0.0233,2.531,0.00804,0.3035
75,622592,155648,134,281.7,-19.43,,-0.0213,0.0246,2.5446,0.00653,0.2997
76,630784,157696,134,284.3,-19.43,,-0.0233,0.0343,2.5761,0.00633,0.2853
77,638976,159744,135,287.0,-19.4,,-0.0207,0.0275,2.5604,0.0064,0.2799
78,647168,161792,136,289.6,-19.36,,-0.0197,0.0254,2.5629,0.00678,0.2869
79,655360,163840,138,292.3,-19.32,,-0.0204,0.0235,2.5862,0.00697,0.3053
80,663552,165888,140,294.9,-19.23,,-0.0177,0.0313,2.5912,0.00626,0.2843
81,671744,167936,142,297.6,-19.2,,-0.0196,0.0286,2.6246,0.00582,0.2792
82,679936,169984,142,300.2,-19.2,,-0.0193,0.0315,2.5686,0.00596,0.2758
83,688128,172032,144,302.9,-19.06,,-0.0204,0.0262,2.5332,0.00593,0.2737
84,696320,174080,144,305.5,-19.06,,-0.0227,0.0315,2.5415,0.00604,0.2734
85,704512,176128,145,308.2,-19.06,,-0.0217,0.031,2.5209,0.00685,0.2875
86,712704,178176,147,310.8,-18.99,,-0.0175,0.0282,2.5265,0.00668,0.2754
87,720896,180224,147,313.5,-18.99,,-0.0236,0.0248,2.5018,0.00716,0.3157
88,729088,182272,147,316.1,-18.99,,-0.024,0.0344,2.5432,0.00713,0.2854
89,737280,184320,150,318.8,-18.81,,-0.0236,0.0385,2.5153,0.00652,0.2842
90,745472,186368,152,321.4,-18.68,,-0.0243,0.0254,2.5,0.00775,0.3323
91,753664,188416,152,324.1,-18.68,,-0.0259,0.0235,2.4784,0.00692,0.3029
92,761856,190464,152,326.7,-18.68,,-0.0259,0.0236,2.4898,0.00749,0.3022
93,770048,192512,152,329.4,-18.68,,-0.0237,0.0274,2.4932,0.00798,0.3351
94,778240,194560,152,332.0,-18.68,,-0.023,0.0259,2.4677,0.00808,0.3323
95,786432,196608,153,334.6,-18.61,,-0.0266,0.0346,2.4836,0.00801,0.3149
96,794624,198656,154,337.3,-18.58,,-0.0236,0.0245,2.4772,0.00721,0.3213
97,802816,200704,154,339.9,-18.58,,-0.0215,0.0288,2.4655,0.00787,0.3236
98,811008,202752,154,342.5,-18.58,,-0.0189,0.0324,2.4079,0.00656,0.2773
99,819200,204800,156,345.2,-18.37,,-0.0232,0.0272,2.5024,0.00802,0.3035
100,827392,206848,156,671.4,-18.37,7.659999847412109,-0.0238,0.0251,2.4395,0.00748,0.3085
101,835584,208896,156,674.1,-18.37,,-0.0251,0.0232,2.4891,0.00867,0.3417
102,843776,210944,157,676.7,-18.29,,-0.0241,0.0284,2.4414,0.00766,0.3162
103,851968,212992,158,679.4,-18.18,,-0.0234,0.0246,2.4178,0.00985,0.349
104,860160,215040,158,682.0,-18.18,,-0.0239,0.0315,2.4239,0.00761,0.3226
105,868352,217088,160,684.7,-17.91,,-0.0253,0.0265,2.4088,0.01126,0.3699
106,876544,219136,161,687.3,-17.8,,-0.0239,0.0228,2.4668,0.00856,0.3534
107,884736,221184,161,690.0,-17.8,,-0.0232,0.0232,2.4375,0.01124,0.356
108,892928,223232,161,692.6,-17.8,,-0.0216,0.0266,2.4362,0.00832,0.3153
109,901120,225280,163,695.3,-17.51,,-0.0244,0.0231,2.4334,0.00988,0.3495
110,909312,227328,163,697.9,-17.51,,-0.0252,0.0279,2.3797,0.00879,0.3405
111,917504,229376,163,700.5,-17.51,,-0.027,0.023,2.3881,0.01042,0.3705
112,925696,231424,164,703.2,-17.37,,-0.0288,0.022,2.4529,0.0094,0.3687
113,933888,233472,165,705.8,-17.26,,-0.0254,0.0266,2.4134,0.01196,0.3966
114,942080,235520,166,708.5,-17.17,,-0.0248,0.0212,2.395,0.01097,0.3693
115,950272,237568,166,711.1,-17.17,,-0.0264,0.024,2.4187,0.01041,0.3679
116,958464,239616,166,713.8,-17.17,,-0.0216,0.0206,2.3977,0.01097,0.3882
117,966656,241664,167,716.4,-17.03,,-0.0276,0.0193,2.4489,0.01031,0.3608
118,974848,243712,168,719.1,-16.91,,-0.0243,0.0272,2.3866,0.01191,0.3777
