method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
finetune,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.9748298525810242,0.9234744313429999
finetune,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.7367345690727234,0.1995860622472351
finetune,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.9278910756111145,0.6697815479654416
finetune,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.7289115786552429,0.17580158532976478
finetune,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.8982992768287659,0.5342676976391502
finetune,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.918367326259613,0.6052630668779511
finetune,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.6948978900909424,0.07238872817888228
finetune,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.9214285016059875,0.6401865817082452
finetune,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.9350339770317078,0.6858550934495128
finetune,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.9744896292686462,0.8390548151412787
finetune,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.7649659514427185,0.2854187971087059
finetune,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.843197226524353,0.2819311954702429
finetune,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.8159863948822021,0.11019739022715758
finetune,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.8738094568252563,0.2038625971938673
finetune,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.7663265466690063,0.13584889440440673
finetune,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.7346938252449036,0.1933815264013529
finetune,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.8149659633636475,0.15264783562379694
finetune,5,"biggrid50-goal(27,3)",2,"biggrid50-goal(15,31)",0.8006802797317505,0.03618426930798997
finetune,5,"biggrid50-goal(27,3)",3,"biggrid50-goal(9,24)",0.8479591608047485,0.04077282027581492
finetune,5,"biggrid50-goal(27,3)",4,"biggrid50-goal(21,17)",0.7629252076148987,0.1232703542997711
finetune,5,"biggrid50-goal(27,3)",5,"biggrid50-goal(27,3)",0.8870747685432434,0.587577548079864
finetune,6,"biggrid50-goal(3,31)",0,"biggrid50-goal(40,31)",0.7357141971588135,0.196483794324294
finetune,6,"biggrid50-goal(3,31)",1,"biggrid50-goal(9,31)",0.9057822823524475,0.5685356682341612
finetune,6,"biggrid50-goal(3,31)",2,"biggrid50-goal(15,31)",0.9656462073326111,0.833881335287848
finetune,6,"biggrid50-goal(3,31)",3,"biggrid50-goal(9,24)",0.9778910279273987,0.8605142734014554
finetune,6,"biggrid50-goal(3,31)",4,"biggrid50-goal(21,17)",0.7676870226860046,0.1408800900214804
finetune,6,"biggrid50-goal(3,31)",5,"biggrid50-goal(27,3)",0.718367338180542,-0.02857113002999937
finetune,6,"biggrid50-goal(3,31)",6,"biggrid50-goal(3,31)",0.9724487662315369,0.815488370050735
finetune,7,"biggrid50-goal(33,10)",0,"biggrid50-goal(40,31)",0.8452380895614624,0.5294726325748824
finetune,7,"biggrid50-goal(33,10)",1,"biggrid50-goal(9,31)",0.8170067667961121,0.16199357134356518
finetune,7,"biggrid50-goal(33,10)",2,"biggrid50-goal(15,31)",0.8136054873466492,0.0986844494453786
finetune,7,"biggrid50-goal(33,10)",3,"biggrid50-goal(9,24)",0.8183672428131104,-0.14592288719325433
finetune,7,"biggrid50-goal(33,10)",4,"biggrid50-goal(21,17)",0.7615646123886108,0.11823871783313623
finetune,7,"biggrid50-goal(33,10)",5,"biggrid50-goal(27,3)",0.768367350101471,0.15403755047876871
